twit_text,date
52탄 [옥타브 체크] 하현우(Ha Hyun Woo) - 질풍가도 (검은사막 모바일 격투가)ㅣ옥탑청년 ,오전 5:52 - 2019년 6월 6일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「검은사막 모바일」, 4위는 「피망 포커: 카지노 로얄 (7」, 5위는 「킹 오브 파이터 올스타」 입니다.",오전 5:01 - 2019년 6월 6일
진짠데요 애니볼시간에 검은사막모바일해야됨ㅅㄱㅋㅋ,오전 4:57 - 2019년 6월 6일
검은사막 모바일 할래?,오후 8:48 - 2019년 6월 5일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「검은사막 모바일」, 4위는 「킹 오브 파이터 올스타」, 5위는 「피망 포커: 카지노 로얄 (7」 입니다.",오전 5:01 - 2019년 6월 5일
휴대폰 바꾸자마자 검은사막 모바일 하고있는데 혼자하니 좀 심심한... ,오전 5:38 - 2019년 6월 4일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「검은사막 모바일」, 4위는 「킹 오브 파이터 올스타」, 5위는 「피망 포커: 카지노 로얄 (7」 입니다.",오전 5:01 - 2019년 6월 4일
검은사막모바일 넘재밋는걸,오전 4:21 - 2019년 6월 4일
그리고 자낳괴는 검은 사막 모바일을 깔앗읍니다 혹시 하시는 분.. 업으면 그럼 이만..,오전 3:14 - 2019년 6월 4일
검은사막 모바일 커마 잘했다!언니 이뻐뷰티앨범에서 가져와서 내취향대로 바꿨더니 더 이뻐졌어 ,오전 1:39 - 2019년 6월 4일
"어제보다 순위가 오른 게임 중 가장 순위가 높은 게임은 「검은사막 모바일」(4위→3위), 30위 권에서 가장 변동폭이 큰 게임은 「리니지M(12)」(24위→20위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「블리치 - 사신 격투」(99위→85위) 입니다.",오전 5:01 - 2019년 6월 3일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「검은사막 모바일」, 4위는 「킹 오브 파이터 올스타」, 5위는 「리니지2 레볼루션」 입니다.",오전 5:01 - 2019년 6월 3일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「킹 오브 파이터 올스타」, 4위는 「검은사막 모바일」, 5위는 「프린세스 커넥트! Re:Div」 입니다.",오전 5:01 - 2019년 6월 2일
검은사막 모바일 위치랑 매화 ,오전 3:40 - 2019년 6월 2일
검은사막 모바일 내폰에 돌아가려나커마만하고십은데 안돌아가면 폰바꿀때가왔다는소리겠즤,오전 5:03 - 2019년 6월 1일
"3일 연속으로 순위가 오른 게임 중 가장 순위가 높은 게임은 「검은사막 모바일」(6위→5위→4위), 30위 권에서 가장 변동폭이 큰 게임은 「컴투스프로야구2018」(30위→27위→23위) 입니다.",오전 5:01 - 2019년 6월 1일
