time,review_txt,stars_txt,ratings
2019-04-10,"지나친 현질 때문에 현타와서 탈퇴하고 삭제하려 하는데, 도대체 탈퇴하는 방법이 뭐죠?? 탈퇴하는 방법이 없으면 고소하게요 :D 원래 환불 불가능 하다면 환불해 달라고 안 할테니까, 제발 탈퇴 방법 좀요 ㅎㅎ 겜 홍보하실 때는 아이돌 데뷔시킬 수 있을 것처럼 하셔서 기대하고 게임을 시작했는데, 그것은 비로소 꿈이 되었네요 ㅎ",별표 5개 만점에 1개를 받았습니다.,1
2019-04-10,데일리판타지 27섭 유저입니다. 11돌가는데 돌파재료가 이벤트를해도해도 너무모으기어럽네요. 안쓰는 다른재료로 교환할수잇게 교환상점좀만들어주세요 교환수수료는 1다이아나 10 .20.30다이아 이런식으로 해서요. 부탁드립니다.,별표 5개 만점에 5개를 받았습니다.,5
2019-05-10,"이 게임은 과금할수록 재밌는게임이다. 충분히 무,소과금도 즐길수 있는 게임성을 가지고있다. 하지만 운영이 그렇게 두지않는다. 과금캐릭의 미친스팩과 성장재료의 현금판매는 이게임이 지갑게임이라는걸 금방 깨닫게해준다. 난 사실 궁금하다 수백만을 현질한 모든캐릭을 성장시킨 유저는 과연 무슨재미로 이게임을 하는걸까. 그리고 과금캐릭의 우수성은 당연히 보장되야 하지만 캐릭터수가 워낙 적다보니 모든사람들의 덱이 똑같다는게 문제다. 상위 10캐릭정도가 성장이안되있다면 응 넌 순위밖이구나 그러므로 탈출은 지능순이다.",별표 5개 만점에 2개를 받았습니다.,2
2019-04-22,"게임 실행시 아무 이유없이 실행이 안될때가 많음, 아이콘을 눌러도 열리는 모션만 보이고 로딩전 검은색 화면조차 뜨지않아 다시 설치해야함. 현질유도가 심함, 계속된 신캐릭 찍어내기로 메타가 바뀌어서 연구하는게 아니고 이건 사기니까 무조건 뽑아야돼!식 운영. 꾸준히하면 된다는 절대 성립되지 못하는 결투장 시스템, 이번 샬롯만 봐도 보이죠? 3성도 잘 안죽어요 ^^ 게임에 애정을 갖고 과금을 했지만 게임을 즐기는게 아닌 일일 숙제하는 기분으로 꾸역꾸역 하게됨.",별표 5개 만점에 1개를 받았습니다.,1
2019-04-16,이벤트 뛰고있고 모험은 수치 차는대로 바로바로 돌리고 있습니다. 그래도 부족해요. 제가 키우는 애들이 돌파때가 되었는데도 지금 하나도 못넘기고 있어요. 공카 들어가보시나요? 거기서도 돌파재료 부족하다는 말들이 나와요. 패치좀 해주시죠.,별표 5개 만점에 2개를 받았습니다.,2
2019-05-20,상세하고빠른답변감사합니다 말씀하신대로 진행해보겠습니다 감사합니다 귀여운캐릭들과 과금을하지않아도 캐릭수집자체는 어렵지 않아서 좋네요 성장속도에 차이가 크긴하지만 가볍게 즐긴다 생각하시는 분들에겐 괜찮습니다,별표 5개 만점에 5개를 받았습니다.,5
2019-04-04,"음.. 가면 갈수록 노가다의 정도가 심해지는것 같습니다. 또한 60~63렙 이후로 레벨업이 무지막지 힘들어집니다. 경험치도 그만큼 수급이 되고있지만,여전히 레벨업 하기에 일주일이 넘게 걸립니다",별표 5개 만점에 4개를 받았습니다.,4
2019-05-21,게임이 지멋재로 켜질때있고 안켜질때있고 ... 진짜 환불하고싶은거 어마무시하게 참는중인데 제발 좀 고쳐주시죠 하... 하루에 세번은 이것때매 폰 껐다 켜야하는거 실홥니까 짘짜 내가 키운게 아까워서 참고있긴한데 계속 이럼 그냥 환불할랍니다.,별표 5개 만점에 1개를 받았습니다.,1
2019-04-12,샬롯.페시 나오더만 기존 유져들 밸런스 붕괴 안죽네. 보호막있어서 공력20만 넘게 차이나도 페시만 있으면 지는 전계를 맛보네.. 참 이제 이것도 그만 둬야 하나~,별표 5개 만점에 3개를 받았습니다.,3
2019-05-23,우선 재밌게 즐기고있습니다.25레벨 달성후 평점 권유 좋습니다. 허나 평점을 하기엔 게임 컨텐츠 열린게 다소 적어 이른감이 있기에 후에 재평가하러 오겠습니다. 좋은 운영 부탁드립니다.,별표 5개 만점에 4개를 받았습니다.,4
