time,review_txt,stars_txt,ratings
2019-05-04,운영자님 제가 연동해 사용하였고 심지어는 인앱 결제까지 자주하던 계정인데 오랜만에 접속했더니 전혀 다른 계정으로 연동되어 그간 해온 정보들을 찾을 수 없습니다. 연동을 안해둔 것도 아닌데 이런 경우 어떤 조취를 받을 수 있나요..?,별표 5개 만점에 1개를 받았습니다.,1
2019-05-01,"오픈때부터 하고 있는 유저입니다. 오픈 초기에는 나름대로 자체 이벤트도 많이하고, 보상도 많이 주고, 유저들 의견도 잘 받는 듯 하였으나 테스트계정(슈퍼계정) 사건과 더불어 게임이 어느정도 고착화되고 나선 게임 내 검수가 제대로 이루어지지 않아 버그가 발생해도 보상을 제대로 지급하지 않으며, 주던 출석 보상도 빼버리며, 다른 서버에선 주던 게임내 재화도 한국에선 자체적으로 빼버리더군요. 가챠게임에서 가장 중요한 가챠확률도 하향된 적이 있었으며, 다른 미국이나 중국 서버에선 하고 있는 편의성 패치도 언제 해줄지도 잘 모르겠습니다. 게...
전체 리뷰",별표 5개 만점에 1개를 받았습니다.,1
2019-05-21,"운영 이따위로 할거면 다른 회사한테 넘겨요. 도대체 뭘 하면 매번 패치마다 오류가 생기는 거죠? 한국서버 오픈 초반에는 자체 이벤트도 했을때 넷마블이 잘 살릴려나보다 했는데 피폭밥 사건 터지고 7장 확률 조작 사건에 감옥탑 인연포인트 버그 등 여러 사건과 오류가 있었으면 최소한 사과문구와 보상이라도 해줘야하는거 아닙니까? 뭔 사과 방식이 '너.그.양' 입니까? 이건 그냥 유저로 보는게 아니라 개돼지로 보는거 같습니다. 업데이트만 하면 오류.. 데이터 그대로 가져오는 아니었나요? 설마 확률을 건드려서 오류 생기는건 아니겠죠? 오죽하면...
전체 리뷰",별표 5개 만점에 1개를 받았습니다.,1
2019-05-21,운영자 님 안녕하세요. 평소에 fgo 재미있게 플레이하고 있는데 헌팅 퀘스트를 하는데 갑자기 렉이 걸리면서 2턴으로 진행이 되지 않아서 2번이랑 돌렸는데 렉이 걸려서 Ap 80이 날라갔습니다. 만약 문제면 빨리 수정 부탁드립니다.,별표 5개 만점에 5개를 받았습니다.,5
2019-05-19,안녕하세요 갑작스레 문제가 생겼습니다. 페그오 접속중 자꾸 인증정보를 불러올수 없습니다라고 뜹니다. 게임을 아무리 재시작해도 접속이 안됩니다. 답변 부탁드립니다,별표 5개 만점에 5개를 받았습니다.,5
2019-05-19,오늘 아침에 접속하려고 하니까 인증정보를 불러올 수없다고 게임을 다시 시작하라네요. 핸드폰 껐다켜봐도 안되고요. 어떻게 해야되요?,별표 5개 만점에 4개를 받았습니다.,4
2019-05-19,운영자님... 오늘 강화퀘는 진짜 달려야 해서 게임 접속하려고 하는데 자꾸 연동 정보를 불러올 수 없다고 접속이 안 되네요 ㅠㅠㅠㅠㅠㅠ 칼데아에 토끼같은 서번트들이 있어요 좀 고쳐주세요...,별표 5개 만점에 1개를 받았습니다.,1
2019-05-19,"게임을 플레이하는 데 있어 과금 유도가 제로에 가까운 게임. 하지만 전자 피규어를 모으는 게임에서 가챠를 하지 않으면 의미가 없기 때문에 그쪽으로 보자면 미치도록 과금 유도가 심한 게임. 남들과 경쟁하거나 게임에서 스트레스를 풀려는 사람들은 이 게임과 전혀 맞지 않으며 달빠나 페이트 IP의 팬들, 그리고 매력적인 캐릭터와 그에 어우러지는 스토리를 좋아하는 사람들에게 잘 맞는 게임. 무엇보다 놀라운 점은 이 게임이 안정권에 들어섰을 때 갤럭시 기준 플레이 인구 수가 평균 1.7만이었는데 그게 서비스 시작일 500일이 넘은 지금까지도 ...
전체 리뷰",별표 5개 만점에 5개를 받았습니다.,5
2019-05-19,마술예장 칼데아-전투복이 여자 캐릭터만 있고 남자 캐릭터에는 없네요ㅠㅠ 오류인것 같은데 남자 캐릭터에도 칼데아-전투복 좀 추가해주세요 닉네임은 '하츠유키'입니다ㅠㅠ,별표 5개 만점에 4개를 받았습니다.,4
2019-05-19,저기요 어제까지는 분명 로그인 잘되다가 갑자기 로그인 안되는데 이게 뭐형상 이죠? 게다가 다시 설치를 했는데도 불과하고 계속 인증에 실패했다는 말만뜨고 이게 뭐하는 짓입니까? 빨리 고쳐주십시오,별표 5개 만점에 1개를 받았습니다.,1
