time,review_txt,stars_txt,ratings
2019-05-13,S10 사용자는 겜 접어야 함. 설치를 겨우 했더니 이젠 패치 다운로드가 안됨./ 매클 답변말고 S10에서 설치중인데 패치 99.8%에서 진전이 없습니다. 한시간째. 삭제후 재설치도 몇번해보고 재부팅도 해봤지만 같은상황. 해결을 좀 해야되지 않겠어요? 같은 증상이 많아 보이던데.,별표 5개 만점에 1개를 받았습니다.,1
2019-04-07,갤10+ 사용자 입니다. 모든 강화 및 레벨업시 화면이 계속 번쩍이면서 먹통되고 팅깁니다. 플레이시에도 화면이 정상적이지않고 간헐적으로 번쩍 번쩍합니다. 첨에는 안그랬는데 문제가 있는것 같습니다. 원활한 겜을 위해 빠른 조치부탁드립니다.,별표 5개 만점에 1개를 받았습니다.,1
2019-05-09,제발 신규 무기 방어구 종류를 더이상 추가하지 말아주세요. 간결하면서 깔끔하게 예를들면 희귀템에 모든 속성을 각각 속성강화를 통해 한가지 아이템에 관리될 수 있도록 검토해 주십시오. 그리고 날개는 언제쯤 업데이트 되나요? 이쯤이면 날개 선보일때가 된것 같은데요. 그리고 동맹원정 정상층 난이도 낮춰서 많은 유저분들이 혜택을 많이 볼수있는 게임이 되었으면 좋겠습니다.감사합니다.,별표 5개 만점에 5개를 받았습니다.,5
2019-03-29,"LG폰은 버려지나요? G7인데 캐릭터 다른걸로 선택도못하고 게임으로 들어가니 인터페이스는 싹사라지고... 스킬버튼이며 지도며 퀘스트창이며 싹다 없는데... 뭐가 다르다고 이렇게되지...;;; 재설치를 해도 똑같고.... ""불칸 리소스 사용"" 활성화 상태인데도 똑같습니다. 재설치 할때도 활성화하고 패치 추가로 받고나서 들어가는데 그냥 없어요 똑같습니다.",별표 5개 만점에 4개를 받았습니다.,4
2019-04-25,처음부터 지금까지 겜을 하고 있는데.. 와.. 오늘은 정말 욕이.. 턱 끝까지오네요.. 뭐하자는건지.. 공식 커뮤니티? 유저들 데리고 장난하나? 열리지도 않은데 뭔 확인? 실속 챙기는게 있으면 책임감도 좀 갖으세요..,별표 5개 만점에 1개를 받았습니다.,1
2019-03-14,관계자.여러분.수고하고.있읍니다.다만.몇몇.혈맹이.물을.흐리고.있는상황?알고계시죠?글구.제제는.안하시는지.긍금합니다.저는.이게임.사랑합니다.감사한.마음.항상.가지고.있고.~흠~수고하세요.항상~^^,별표 5개 만점에 5개를 받았습니다.,5
2019-04-06,이틀전에겔s10으로휴대폰바꿨는데 자꾸멈추고튕겨서 휴대폰a/s센터갔더니 게임이 휴대폰os를못따라오는거라멈추고튕기는거라는데맞나요?화면색이 울긋불긋 바뀌다가멈춰버리고 이런현상이너무잦아요 게임다시지우고깔아도 소용없네요..이해가안됨ㅠ게임이핸폰사양을못따라온다는게..,별표 5개 만점에 3개를 받았습니다.,3
2019-05-19,갤럭시s10 5G에서 불안정한현상이 계속나오는데 수정작업안하시나여? 업데이트복구후에서 동일증상계속나오는데 계속재접하기도 짜증납니다...던전한곳 완료하고 다음던전가려고 나가기를 누르면 로딩화면이 멈추거나 달달떨다가 멈추는건 해결안하나여?,별표 5개 만점에 4개를 받았습니다.,4
2019-03-14,과금아니면 힘든겜. 업뎃할때마다 현질유도 업뎃만 하는거같음 . 이제 코스튬도 현질만 나옴. 매출 줄어드는거 같으면 펫만주구장창 내놓음.(물론 현질)내돈내고하는 자동퀘는 매번 몹에걸려잇어서 퀘진행을못하고있음..개선 절대안해줌 .캐릭간밸런스 똥망. 핵과금러아니면 힘든겜~,별표 5개 만점에 1개를 받았습니다.,1
2019-05-31,겔S10+ 사용자들은 게임 하지말라는겁니까?오늘 업데이트 이후 패치 파일 받으려는데 안받아져서 게임 삭제하고 다시 받고 하는데도 패치 다운도 진행이 안되고 있는데..도대체 왜그런건가요?밑에서도 언급했지만 화면 떨림도 개선이 안되는 이유는 뭔가요?,별표 5개 만점에 1개를 받았습니다.,1
2019-05-25,겔럭시 5G 인데 설치하고 패치다운 받는데 99.9%에서 멈춰 더이상 진행되지 안습니다. 문제해결좀 해주세요 언제까지 기다려야하는지 보상은 해주는건지 얼렁뚱땅 조속히 처리하네 노력하네 알아보는중이네 불편을끼쳐 죄송하네 이딴말 필요없고 정확한답변 보내주세요.,별표 5개 만점에 1개를 받았습니다.,1
2019-05-13,밑에 글 올리신분 처럼 저도 갤10 5G 사용자인데 어제부터 갑자기 업뎃 있다고 다운로드 하라고 해서 확인 눌렀는데 한시간 동안 다운 1도 안되고 폰 껏다 켜고 해도 안되고 LTE 로 접속해도 안되고 겜 삭제하고 다시 까는데 99.8%에서 더이상 다운 안되고 와이파이도 마찬가지고 이건 뭐 겜을 하라는건지 말라는건지.. 그전에도 겜 할때 정던 들어가려고 하면 겜 멈추고 정말 짜증나네요 이럴거면 겜 접을테니까 이번달 아이템 결제한거 취소해주세요,별표 5개 만점에 1개를 받았습니다.,1
2019-03-21,뭔 게임이 업데이트도안됩니까? 제휴대폰이노트9인데 업데이트 하려다가 안되서 삭제하고 다시깔아보니 케릭터는 다 날라가고 다시 시작하는 마음으로 하고있는데 또그러네 이런게임은 시작을하지마시지. 사람가지고 노는것도아니구 욕 할수있음 다퍼붓고싶네,별표 5개 만점에 5개를 받았습니다.,5
2019-04-07,갤럭시s10 5G로 바꾼후로 계속 번쩍번쩍 거리고 레벨업 강화 뭘하려해도 팅겨요..점점 승질이 나려해요ㅡㅡS7도 가지고잇는데 그건 정상인것으로 보아 S10만 그런건가요? 빠른조치 부탁해요!!!,별표 5개 만점에 1개를 받았습니다.,1
2019-05-31,제가 전에 플레이했을때 너무 재밌었던 기억이 있어서 다시 다운받았는데 캐릭터 선택 화면에서 자꾸 튕깁니다. 그리고 플레이중 화면이 세로로 바뀌는 경우가 있습니다.이 오류들만 고쳐주시면 별 5개 드립니다.,별표 5개 만점에 3개를 받았습니다.,3
2019-04-25,이건 뭐 업뎃을 하루종일 할려나..마켓 핑계나 되고 지금 뭐하자는 겁니까!내일 출근 때문에 게임 못하는 사람들 보상은 어찌할라고 이러는건지..마프로 하나? 마프로 랜덤상자 하나? 이런걸로 퉁 칠라는건 아니겠죠??그럼 진짜 유저들 쌍욕 하고 이대로 안넘어 갑니다. 참고로 탐욕 상자도 줘야 됨!,별표 5개 만점에 5개를 받았습니다.,5
2019-04-25,누구를 위한 게임입니까? 업데이트 벌써 21시간이 지났습니다. 유저들에게 사과하나없이 이 무슨 경우입니까?,별표 5개 만점에 1개를 받았습니다.,1
2019-05-02,"업데이트 이후 게임중 렉,순간이동 시 멈추면서 튕귐심합니다 겔럭시노트9 512기가 쓰는대 게임이 아무리 고사양게임 이라도 휴대폰사양이 못따라갈리가 있나요 게임좀 할려고 하면 렉생기면서 멈추고 찌증나죽겠습니다 빠른 해결좀 해주세요",별표 5개 만점에 1개를 받았습니다.,1
2019-04-26,여친이랑 리니지하면서 만났는데..ㅎㅎ 아직까지 하고있네요~~^^덕분에좋은인연 만들어줘서 감사해요~번창하세요~~^^,별표 5개 만점에 5개를 받았습니다.,5
2019-03-20,아니!! 정말 너무한거 아닌가요? 강화확률좀어에해봐요 어떻게 축강을 연타로 바르고 해도 9강이 연속으로 떨어지냐고 이게 말이되냐고요 겜접어야될지경이네요 와나 장난하는것도 아니고 축강 30개발랐는데 제자리 머하자는 거지? 정말 장난질 제대로하네 화가난다 겜접어야겠음,별표 5개 만점에 1개를 받았습니다.,1
2019-05-08,갤럭시s10 plus user 입니다. 불칸리소스 사용시 화면깨짐과 장비 레벨업시 화면이깨지면서 멈춤현상이 일어나는데요. 이부분 언제 해결되는건가요?,별표 5개 만점에 2개를 받았습니다.,2
2019-05-09,제가. 초보라. 서브캐릭들은. 사냥이. 다되는데. 2틀째. 본캐가. 사냥이. 되질 안아여 왜그런걸가여 몹들도. 천하무적이고 왜그런거져,별표 5개 만점에 1개를 받았습니다.,1
2019-05-15,"갤10 던전 한번하고 화면 멈추는 현상, 옵션변경하면 멈춤현상, 메인퀘스트 완성시 화면 겹침현상, 화면 깜박거림 현상 결정적으로27.6M 업데이트 안돼서 접음",별표 5개 만점에 1개를 받았습니다.,1
2019-05-04,교환한다는 글을 월창에다가 올렷다는이유로 15일씩이나 접속금지를 시켜요? 교환햇으면몰라 교환한거확인하는것도귀찮다는듯이 15일이나 접속금지시키고 참대단들하시네요 좀줄여주시던지 해주세요,별표 5개 만점에 1개를 받았습니다.,1
2019-05-29,처음키우면 sr30레벨 20강화 셋트로 주는데. 또 새로 하나더 키우면 sr1레벨 20강화로 줌니다.. 다시. sr30레벨. 20강화셋트로 받을려면 어케 해야 하는지요? 이미 한번 받으면 끝인가요?,별표 5개 만점에 2개를 받았습니다.,2
2019-05-26,솔찍히 별한개도 아깝다. 10일이지났는데 아직 겔럭시s10 왜 문제인지 찾지도못하는 돈마블 지금 겔럭시s10으로만 게임하는 호객님 하면서 넷마블은 또이렇게 죄송합니다 근데 호객이 되줘서 고맙다며 낄낄대겠지ㅋㅋㅋ전문가 맞나 궁금할정도로 진짜 문제많네ㅋㅋㅋ앞으로 겔럭시가지고 레볼전용휴대폰이니 개소리하지말고 그런 cf찍지마라ㅋㅋ애플 아이폰이나 아이패드로만찍어라ㅋㅋㅋ유저들 돈으로보는 고객센터 갑질하는 상담원들아ㅋㅋ,별표 5개 만점에 1개를 받았습니다.,1
2019-05-23,갤럭시s10은 접읍시다! 아니 무슨 겜중 팅긴다고 그럽니까? 게임패치가 아예 안되는구만. 끝물이라고 운영 이렇게 하시면 곤란합니다.,별표 5개 만점에 1개를 받았습니다.,1
2019-04-04,게임을 하려고 다운로드를 했는데 시작을 못하고 있다 처음에 동의를버튼을 누르고 터치 더 스크린이 나오길래 화면을 눌러도 반응이 없다 5분넘게 기다려봐도 껏다켜봐도 화면에는 터치더스크린만 나온다,별표 5개 만점에 1개를 받았습니다.,1
2019-05-01,2년동안 게임 잘해왔는데 통합. 하고나서 이런씩으로 관리. 합니까 ㆍ나원참 대기를. 해요 무슨 군부대도 아니고 대기타서. 게임을 하라니 기가차고 코가 막혀서 삭제 합니다ㆍ 자유한국당 가치 자기들 맘대루하는 운영 반대 합니다ㆍ 망해야 정신. 차리실려나 삭제 합니다ㆍ,별표 5개 만점에 1개를 받았습니다.,1
2019-05-17,지금 어제부터 패치가 다운로드 시작하면 몇시간째 0프로에서 멈춤 !! 안되고 있어요 !! 짜증이나서 미치겠습니다 뭐하는겁니까 !!! s10+ 입니다 !! 어서 조치하세요 !!!!,별표 5개 만점에 1개를 받았습니다.,1
2019-04-26,잘돌아가다가 비정상적인 접속이라며 오류가 나는데 고쳐질 생각은 없고 오늘하루닫기화면 눌러놔도 접할때마다 뜨구 돈벌생각은 좋아보이는데여 쓸수잇게는 해놔야지 원.. 패치했다하면 하루종일 하고 또하고 ㅋㅋ 언제고쳐줄거에영.. 하라는건지 말라는건지..,별표 5개 만점에 3개를 받았습니다.,3
2019-03-21,지금~~3일째g7폰만~~방향키하고~캐릭터만보이고~아무것도없음~~g7폰겜하던사람은버리는건가?빨리조치해주세요~~이런적이없었는데...,별표 5개 만점에 1개를 받았습니다.,1
