time,review_txt,stars_txt,ratings
2019-05-20,"템 많이많이 기본적인템 주시길 바라면서 기대합니다 검은사막이라 월리가 똑같이 카피해서 조작한게임 아니길바랍니다 워낰 비슷한게임이 많아서요 설마? 전사 어쌔신 활궁 마법사 워리어 이렇게 있는건아니죠 요즘시대가언제데 옛날로말하자면 2016식도 RPG게임이 전사,마법사,요정,어쌔신,활궁,워리어스 있더군요 ~^^아니길 아니길 기대합니다 그래픽은 요즘폰도 스펙좋은데 게임그래픽도 안좋타면 말도안되는거 ㅇㅈ하시죠? 그러면서 기대합니다.",별표 5개 만점에 5개를 받았습니다.,5
2019-05-28,"아르카 시작한지 얼마 되지 않은 유저입니다. 사전예약까지 하고 오랫동안 즐기기위해 오늘이 4일차지만 20만 원 정도 과금하고 무슨 특가이벤트가 있어 그것을 사기위해 14000원 짜리 500다이아를 결제했는데 다이아가 들어오지 않았습니다. 이런일이 처음이라 당연히 해결될 것으로 생각하고 고객센터를 통해 글을 올렸더니 구글 영수번호를 보내라고 안내받아 영수번호를 보냈더니 정상지급으로 확인된다고 하고 끝이네요. 이에 당황스러워서 아르카 고객센터 전화하려고 하니 전화번호도 나와있지 않아 다시 글을 올리면서 결제를 확실히 했고 다이아가 들어...
전체 리뷰",별표 5개 만점에 1개를 받았습니다.,1
2019-05-21,"레벨업 110부터 올리기 힘들고요, 자동전투로 올리기 더 힘들고 성장속도 대폭느려짐. 던전도 입장제한수 있어서 ,입장제한수 늘리려면 꼭 현질해야하는! 상위랭킹권 들어도 과금러한테 금방 밀리는 게임! 지금도 과금러분들이 치고올라오고있는데 현질 많이 할수록 전투력 대폭상승하는 게임!초반에는 레벨업 쉽고 좋으나, 성장하면 할수록 현질유도 심한 게임. 위자드 직업 랭킹 5위권 찍고 접습니당. 리뷰 지우지마세요. 첫 리뷰 지우셨네.",별표 5개 만점에 2개를 받았습니다.,2
2019-05-21,"게임은 최적화가 덜되어있어 화려한 그래픽보다는 어차피 찰흙보고 플레이 해야할겁니다. 그리고 거슬리는 VIP 시스템 필요 없는데도 초반 후반 과금유도 위하여 빕따라서 장비 추가로 주고.. 그냥 과금러들 놀이터인듯합니다. 게임 오픈 초기부터 과금유도 장비 VIP로빡시게 하는거보니 후반가면 답 나옵니다 결국 누가 돈 더많이 쓰냐 게임. 과금모델도 엉망인데다가 전투 시스템도 자동이동할때 카메라 시점하나 제대로 잡지못함. 캐릭 앞모습봤다 뒷모습봤다 난리도아닙니다. 전체적인 시스템 엉망에다가 끌리지않는 과금 시스템 다른게임과 경쟁력이 부족한 ...
전체 리뷰",별표 5개 만점에 5개를 받았습니다.,5
2019-06-04,ㅎ;;; 이거 퀘스트중이나 보스사냥중에서나 결투장도 아닌데 다른 유저와 싸울수있다는 얘기 했었나요..? 아니무슨;; 결투장 그런데서 다른 유저들과 싸우던가 하지 퀘스트중인데 싸우는게 말이됩니까??? 전에도 한번 이런거때문에 올렸었는데 답장은 무슨 최선을 다해 노력하겠습니다. 이게 끝이야 성의도없이 진짜 화가나서 그냥여기에 욕박고 이게임 안할라했는데 그 점 빼고 다 괜찮아서 참는건데;; 어떻게 해주시던가... 결투장말고 다른데서 안싸우는법을 알려주던가;; 좀 해주세여 저 이게임 이런이유때문에 그만두기 싫습니다 부탁드립니다,별표 5개 만점에 1개를 받았습니다.,1
2019-05-21,"이거 뮤 따라만든거 같음. 다 뮤와 거의 100프로 동일하다고 보면됨. 그리고 운영을 한국에서 하는 척하면서 다 중국인들이함;;; 환불, 미지급 처리 절대안해주고 답변은 다 매크로;;;;;; 절대하지마세요 ㅎ L ㄱ ㄴ ㅜ ㅇㅔ ㅅ ㅓ 77ㅓ 져 중국들아 ㄱ",별표 5개 만점에 1개를 받았습니다.,1
2019-06-02,게임 정말 형편 없네요!! 일단 결제건은 환불해 주세요 과금전에는 쾌적하게 잘 되었으나 과금후에 접속만 하면 팅김현상이 3시간째 지속!! 과금하고 게임하지 말라는 건가요? 이렇게 팅기는 게임은 처음 해 봅니다!!,별표 5개 만점에 1개를 받았습니다.,1
2019-06-02,아르카 광고 av배우를 쓰셨던데 생각 있는건지 여쭤보고 싶어요~ ㅋㅋㅋ한국 냄져들 유명하면 av고 뭐고 상관없이 갖다쓰나요? 얼굴도 못생긴게 나와서 춤추는거 보고 있자나 토와서용~ 분명 개발자랑 상관 없다고 말하실텐데 개발자랑도 상관 있거든요?,별표 5개 만점에 1개를 받았습니다.,1
2019-05-21,잠깐 바탕화면 나가면 계속해어 결제창이뜨는 참신한생각은 누구아이디어인가요? 개짜증나서 못해먹겠네...종료도안되고? 돈에 환장들하셨어요? 내이제껏 이렇게 빨리접는겜은 이게첨이자 마지막일듯.....,별표 5개 만점에 1개를 받았습니다.,1
2019-05-30,도감 몬스터 찾기 힘듬. 던전. 일일. 보스. 등등 너무 복잠함. 월드보스 잡을 때 다른 사람한테 죽음. 말 타고 하늘 날 때 너무 김. 캐릭터 날개가 잡스러움. 날개 좀 그만 넣자 지겹다. 136에셔 저는 포기 함. 스킬은 화려해도 보기 불편하게 너무 화려함. 중국은 적당히 라는게 없음. 중국은 다 과함.이상,별표 5개 만점에 1개를 받았습니다.,1
