time,review_txt,stars_txt,ratings
2019-05-16,"별5개에서 별두개로 .. 이유 아이탬판매 5회 재한 에 ~~ 판매수령 5회재한 참불편하게 나아가는거 같네요... 요즘 가뜩이나 할게 없어 지루한데 .. 창고만 넘처나고 인밴넘처나고 어떤의도인지 좋게는 안보이네요 ㅠㅠ 댓글보고 마음 편치않네요 .... 2019 년 3월12 일기준 삼성 s9+ 팅김 멈춤 그래픽깨짐 사냥터 자동 낑김 이게임 시작할때보다 더심해졌다 .. 윈도우 카톡 전화 통화하면 거의 팅김 멈춤이다... 다른건 몰라고 게임을 할수없는 환경이 큰문재이네 ...별4점 3점 1점 추락 2019년 5월 16일 게임 환경이 좋아지...
전체 리뷰",별표 5개 만점에 3개를 받았습니다.,3
2019-05-30,이런류 게임 중에서는 극상. 그래픽은 말할 것 없음. 극상. 배터리 소모 및 사양 최적화도 개적화는 아님. 괜찮은 편 pc때 보스들 하염없이 기다리거나 미친 노가다만 요구해서 힘들었는데 모바일이라 그런 단점이 줄어든게 장점이라면 장점. pc에 비해 스토리 전달력도 완전 다른겜 수준으로 진화함. pc한 사람들은 이 부분을 칭찬. 이제 단점 자동사냥 AI. 길에 막히고 타겟 아닌애들 잡고 멍청하기 짝이없음. 스킬도 비효율적으로 사용함. 갓챠시스템 설명 생략. 펄어비스 설명 생략,별표 5개 만점에 5개를 받았습니다.,5
2019-05-31,"계승되면 뭐하고 이벵하면 뭐해. 내 캐들은 이미 리퍼, 다크니스? 되서 무기 쓸 수도 없는데ㅋㅋㅋ 아크매직션?은 변경할 수 있게 되서 변경했었는데 이번에는 하든지 말든지네. 어차피 되지도 않는데;;",별표 5개 만점에 1개를 받았습니다.,1
2019-06-01,"제가 느끼는 검은사막의 장점은 자유로운 커스텀 마이징, 예쁜 그래픽, 코스튬 그리고 이 세가지 덕분에 더욱 크게 느껴지는 내가 만들어 캐릭터를 키우는 성취감, 뿌듯함 이라고 생각해요. 그러데 제가 게임을 하면서 가장 크게 아쉽다고 느낀건 커스텀. 헤어스타일, 화장 등 그런부분이 pc처럼 더 많이 추가되면 좋겠고 의상도 마찬가지로 생각합니다. 요즘 검은사막을 가장 재미있게 하고있어 이런 아쉬움이 크게 들는것 같아요ㅠ 언제나 검은사막 잘 됐으면 좋겠습니다*^^*",별표 5개 만점에 4개를 받았습니다.,4
2019-06-03,"게임만도 상 입니다. 근데 폰 lg v50 쓰는데, 왜 그래픽 설정에서 해상도랑 프레임 기기최대 지원이 안되나요? 성능은 타폰에 비해 안꿀리는거같은데 말입니다... 매우 아쉽습니다. 제조사에 문의할 문제인가요??",별표 5개 만점에 5개를 받았습니다.,5
2019-05-30,업뎃이후 투기장 매칭시 투력차이 500까진 이해하겠는데 1000단위까지 차이내버리면 무슨 재미로 투기장에서 놉니까?.. 시작하자마자 무사의혼 쓰고있는데 화살한방에 가버립디다..비벼볼수가 있어야지 원..밸런스좀 맞춰주세요 사랑하는 운영자님 참 게임 재밋는데ㅎㅎ,별표 5개 만점에 2개를 받았습니다.,2
2019-05-18,"내가 진짜 이런말까진 안하려고 했는데, 설치중에 할 수 있는 탑 오르기 미니게임 방향키랑 점프 키감이 진짜 개똥망겜수준임...계속 씹히고 씹히고...내가 예전에 해봤다가 다시 하니까 그냥 설치하고있는거지, 뉴비들이 들어와서 설치하는데 이 미니게임 해보면서 이런 개똥같은 키감 경험하는 순간 설치도 다 안해보고 삭제할듯.. 일부러 어렵게 만드려고 이랬나본데, 독약인거같으니 얼른수정하세요~",별표 5개 만점에 3개를 받았습니다.,3
2019-06-01,다시 시작하려고 설치했는데 기존에 키우던 캐릭터들은 왜 다 삭제가 된건가요? 아님 제가 못찾는건가요? 서버 기억해놓고 접속을 했는데 처음부터 다시 시작하려니 게임을 할 마음이 사라지네요,별표 5개 만점에 3개를 받았습니다.,3
2019-05-27,검은사막 기대이상입니다. 너무 꿀잼 아니냐능 ㅎㅎ 이쁜 펫도 키울수있고 타는말이랑 이름도 바꿔줄수 있고 나만의 짱머찐 영지도 관리하고~ 시간이 모자랄 정도로 할일가득 ㅎㅎ 계속 이렇게만 재밌을수 있게 운영해주세여~♡♡,별표 5개 만점에 5개를 받았습니다.,5
2019-05-31,안녕하세요. LG V50 ThinQ 사용자입니다. 검은사막 모바일 재밌게 사용 하고있습니다. 그런데 이폰은 최신기종인데도 기기최대가 풀리지않네요..ㅠㅜ 빨리 기기최대가 풀리기 부탁할게요.!!!,별표 5개 만점에 5개를 받았습니다.,5
2019-05-29,"지금 현재 이관서비스를 하는게 pc만 해당되는건가요? 기존에 모바일로 이용하던 사람들에게도 해당되는건가요? 모바일이 5월 30일부로 종료인데, 기존에 사용자들은 30일부로 삭제되나요??",별표 5개 만점에 3개를 받았습니다.,3
2019-05-13,정말 재밌었습니다. 몇달간 해왔고 현질도 몇번했지만 후회하지 않았습니다. 그런데 기기변경 한뒤 같은 구글 아이디로 로그인했는데도 불구하고 제 캐릭터창이 비어있다고 뜨네요. 몇번이나 해봤지만 같은 결과여서 글 올립니다. 해결방법이 있다면 알려주세요.,별표 5개 만점에 1개를 받았습니다.,1
2019-05-22,무과금 과금 모두 얻고 싶은걸 얻을 수 있는것 같다. 무과금도 시간투자대비 꽤 좋은 성적을 얻고 속전속결의 과금러도 돈투자대비 좋은 성적을 얻는다. 요새 유저들을 개돼지로 보는 모바일시장치곤 준수하다. 마지막으로 펄어비스가 PC든 모바일이든 그래픽은 최고라고 내 기준에 확답한다.,별표 5개 만점에 5개를 받았습니다.,5
2019-06-01,기대이상으로 재밌네요. 항상 이런겜은 저랑 맞지않는 줄 알았는데 이번에 하게되었는데 푹 빠졌네요. 그래픽이며 쉬운 조작법 직장인을 배려한 자동전투 정말 만족하고 있습니다,별표 5개 만점에 5개를 받았습니다.,5
2019-05-29,"6개월만에 다시돌아왔다 복귀유저다 렙70찍고그만뒀으니 노가다하러간다 솔까고 부족한점도많지만 이만한게임 어디가서찾기힘들다는것도 유저들이다아는사실 매주업뎃하면서 유저소리에 귀기울여주는 센스 이런게임 접으면안된다판단해 다시돌아왔다 점점더발전하는 검사M이됬으면좋겠다 그리고 맨날 컴으로 모바일돌리기 힘든데 pc온라인으로전환해서 서로공유되고 모바일이랑겸용으로 같이 플레이했음 좋겠다 그냥내바램이다 집에선 온라인으로똑같이돌리고 회사에선 폰으로 pc돌리는 그런재미가있었음 좋겠다 pc로돌리면 조작미스 해결되고 타격감도 향상되니 더좋은것같다 그냥 검은...
전체 리뷰",별표 5개 만점에 5개를 받았습니다.,5
2019-05-22,정말 재미있습니다. 그런데 현재 제가 사용하는 기종이 홍미노트7인데 그래픽제한이 걸려있어서 더 화려한 그래픽을 즐기고싶지만 그러지못하고 있습니다 ㅠㅠ.. 홍미노트7 기종의 그래픽제한 풀어주실수없습니까..,별표 5개 만점에 4개를 받았습니다.,4
