time,review_txt,stars_txt,ratings
2019-05-30,"게임 재밌어요^^ 하루도 빠짐없이 늘 접속해서 열심히 하고 있는데 단 한가지!! 월드창에 상대방에 대한 욕을 아무렇지않게 하는 유저들, 벌 줬으면 좋겠어요 그들의 생각은, 월드챗에 욕을 하든말든 본인의 자유라고 생각합니다ㅜ 그 자유를 너무 누리고 있어요 이 게임 장기적으로 1위 했으면합니다 그러기위해 이 제도가 꼭 필요하다고 생각합니다 제 이 한마디가 반영되기 힘들겠지만, 그래도 생각만이라도 조금 해주세요",별표 5개 만점에 5개를 받았습니다.,5
2019-06-01,"시스템 장애로 케릭터 접속이 안됩니다, 그리고 케릭터의 그래픽이 머리만 나오네요 두가지 모두 케릭터 선택창에서 발생된 문제입니다. 게임 다시 다운받으라는 답변은 사절할께요. 조치취해주기 바랍니다.",별표 5개 만점에 1개를 받았습니다.,1
2019-06-02,"개인적으로 되게 재미있는데 돈마블 아니랄까봐 돈돈돈 거리는게 좋은게임 다 망치네요, 온라인게임도 제대로 운영도 못하는 회사인데 모바일이라고 운영잘할꺼란생각도 안했고.. 무슨 업데이트만 하면 현질하라고 하네 ;;",별표 5개 만점에 1개를 받았습니다.,1
2019-05-30,명불허전섭의 스카7입니다..ㅡㅡ...전설수호령 이젠 하다하다 징그러울정도로 안나오네요.제가 접으면 아마 그이유가 될까 싶네요.그리고 대규모쟁지역이나 영던에서의 렉은 용납안될정도로 심하고요.과금 유도만 하지말고 섭관리좀 하시죠.ㅡㅡ+++,별표 5개 만점에 1개를 받았습니다.,1
2019-05-30,아니 무슨 모바일게임이 패치 할때마다 기가 단위로 용량이 늘어나요? 폰에 아무것도하지말고 게임만 깔아서 하라는 소린가요?매주 폰에 뭔가를 삭제해야되는것이 참말로,별표 5개 만점에 1개를 받았습니다.,1
2019-05-30,두달이 지났지만 여전히 몰입감있는 게임이에요!!! 여러분 어서 다운로드 받으세요 ㅋㅋㅋㅋ,별표 5개 만점에 5개를 받았습니다.,5
2019-05-30,PC게임으로 너무 재밌게하던 게임이고 너무좋아하는게임인데 퀄리티 쥑이네요 ㅠㅠㅠ 너무너무 재밌게하고있습니다 앞으로도 즐겁게할려구요오옹 ㅎㅎㅎ 재밌는게임 만들어주셔서 감사합니다♡,별표 5개 만점에 5개를 받았습니다.,5
2019-05-31,"운 좋게도 전설도안을 먹어서 제작하려는데 특수광석을 모으려고 자작나무숲에서 하루종일 며칠씩 자사돌려봣는데 한개도 구경을 못해봤어요 상급광석이나 그냥 광석만 모아지고 특수광석의 드랍율을 높여주시던지 개수를 줄여주세요.아니면 상급광석으로 몇개로 제작할 수잇는 시스템이 필요합니다.상시분쟁지역에서 영석가공을 하려고 해도 고렙들 때문에 자꾸 죽어서 영석을 모을 수도 없어요.저렙들은 전쟁지역가면 죽을 수밖에 없는데 세력점수를 어떻게 올리나요.그리고 등급이 높은 수호령의 확률이 너무 희박합니다. 등급이 높아서 확률을 달리 하는것도 좋지만 너무 ...
전체 리뷰",별표 5개 만점에 3개를 받았습니다.,3
2019-05-31,한 달 해본 결과 세력전에선 짜져 있어야겠구나ㅡㅡ;; 원활한 진행시스템과 세력 포인트로도 소모 가능한 상점템이 나와야 잠수캐릭들이 없어질듯 어찌좀 해봐요 쫌 ㅜㅜ,별표 5개 만점에 4개를 받았습니다.,4
2019-04-29,"홍문의정기 패치 이후 급속도로 게임이 나락으로 떨어졌네요. 유저는 하루하루 점점줄고 매출은 올려야겠고 유저는 빠지고 기존유저들만 죽어가네요 돈마블 덕분에^^ 게임중 팅김 또는 맵이동 오류 잔렉 등등 심각합니다. 패키지만 팔지말고 게임 환경개선에 힘을 쓰시길바랍니다. 오늘은.. 용오름계곡 패치.. 도대체.. 패치는 언제 끝나는건가요? 예정완료시간보다 10시간이 지났습니다^^ 게임을 하라는건가요? 매번 패치나 업뎃때마다 예정시간에 맞춰서 한번이라도 약속 지키신적이 있으시나요?^^ 시원하게 게임지우겠습니다^^ 한계에 도달했습니다. 복귀유...
전체 리뷰",별표 5개 만점에 1개를 받았습니다.,1
2019-05-31,제밌어요. 더욱 많은 컨텐츠가 신규 지역보다는 더욱 다양한 아이템을 먹을수있는 수련의땅같은 컨텐츠가 많았으면 해요 .,별표 5개 만점에 5개를 받았습니다.,5
2019-04-29,"다른게임에 비해 현질 유도도 심하지 않고 비교적 건전한?게임 이라는 생각입니다....라고 초기에는 생각했었는데 이건 뭐 렙업을 하면 할수록 새로 업뎃을 하고이벤트를 하는걸 보면 이건 조금 심한데?라는 생각이 들정도로 과금유도가점점 대놓고 심해지네요 물론 과금 을 안하면 게임회사는 무엇으로 운영을 하고 무엇으로 새로운 개발을 하겠습니까? 회사입장에선 당연한것이겠지요 그러나 너무 대놓고 과금 을 하라고하는것같아게임자체에 점점 흥미를 잃어가고있는것도 있습니다,새로운 이벤트도 좋고 새로운맵도 좋고 다 좋은데 이걸 하려면 너희들의 지갑을 열...
전체 리뷰",별표 5개 만점에 4개를 받았습니다.,4
2019-04-29,"운영진들한테 한가지 말씀 드리고 싶은게 (수호령) 시스템은 진짜 개선해야 할듯합니다.극악의 확률로 수호령에 몇십에서 최대 몇백까지 쓰시는 분들도 계시는데 제대로된 수호령 하나 얻지 못한다는게 말이됩니까. [수호령 승급] 이라는 시스템도 말이 승급이지 그냥 랜덤 합성이 맞는거 아닌가요?승급이라는건 다음단계로 올라가는 시스템이지 랜덤합성으로 운좋게 얻는 시스템은 아닐텐데...그러면서 확률은 수호령을 다 넣어도 50%~60% 확률인데 무조건 실패고 수호령 승급 시스템을 한가지 수호령에 레벨(경험치)을 어느정도 올리면 다음 상위등급 수호령...
전체 리뷰",별표 5개 만점에 1개를 받았습니다.,1
