time,review_txt,stars_txt,ratings
2019-05-11,왜 플레이스토어 앱 이미지랑 실제 게임 이미지가 다른가요?(로딩화면). 이거 구글정책에 적법한건가요??// 그리고 로딩화면에 벗은여자나오는거...지금까진 밖에서 하기 쪽팔리는 정도였는데 이번에는 걍 역겹네요(신규코스튬). 거기 팀장님께서 그런거 좋아하시나요?? 좀 멋들어진 그림으로 로딩화면 바꿀순 없나요?,별표 5개 만점에 5개를 받았습니다.,5
2019-05-09,갤럭시 s8+인데 오른쪽 맨 끝에 터치가 되지 않습니다 여러분들은 어떤가요? 잘 되나요? 저 지금 진지합니다 자세히보기도 토픽도 오른쪽 맨 끝에 있기 때문에 터치가 안되서 제대로 된 정보를 얻을 수가 없어서 일일이 공식카페에 접속해야 하는 번거로움이 있거든요 여러분도 그런가요?,별표 5개 만점에 4개를 받았습니다.,4
2019-05-16,"전계 40개뽑아서 3성 40개라고? 아무리 확률 공개여도 그렇지 이건 좀 선넘지않았나? 물론 40개가 표본으로는 넘 적지만 한주동안 파밍한건데 쓰레기 4성이 1개 하다못해 조각이라도 줘야지. 최악의 가챠 상황에서 유저는 스트레스를 혼자 감당해야한다. 이는 확률의 문제가 아니라 기본적인 배려의 문제다. 유저에게 최소한의 심리적 마지노선을 설계해줘야한다. 20일 동안 43렙 까지 키우면서, 얻은 다이아를 계약서에 밖았다. 아직도 전열은 르네 슬론 칼슨 이고 테일러 하나말고는 다 확정권으로 맞춘거다. 다이아 모으고 쫄짝하면 뭐하나 어차피...
전체 리뷰",별표 5개 만점에 2개를 받았습니다.,2
2019-03-31,"이전의 이런 장르물에서 추가로 원했던 점들을 모조리 넣어놓은 턴제RPG.스토리도 재밌고(주인공한테 관심이 너무 쏠리는거만 좀 개선하면 좋겠지만...) 캐릭터마다 개성도 뚜렷하며 크게 나뉘는 4가지의 전투형태와 그 규칙 내에서 다시 나뉘는 캐릭터마다의 특징(전투 방식의 변화도 포함)을 생각해 직접 전략을 짜는 스타일의 플레이형태도 마음에 들었습니다. 앞으로 카X오의 게임들처럼 현질유도가 엄청나지거나 하지는 않았으면 좋겠습니다.거기에 +로 패치마다 잦은 유저의견 반영이라던지 참고,발빠른 렉,버그개선같은 좋은 운영의 모습도 보여주신다면 ...
전체 리뷰",별표 5개 만점에 5개를 받았습니다.,5
2019-04-16,"이런 게임은 케릭터 얻는 재미로 하는건데, 4~5성 얻는게 그리 어렵지않아서 만족스러움. 전략을 짜는 재미도 있는 편임. 단점이자 장점은 진형순서에 따라 자동으로 전투가 진행되기에 단조롭게 느껴질수 있음.",별표 5개 만점에 4개를 받았습니다.,4
2019-05-08,"저번 리뷰 삭제됐네요?? 비난 적힌 글은 강제로 삭제하시나봐요. 다시 올립니다. 지금 과금정책 조금 지나치지만 이해가능한 수준입니다. 헌데 심각한 밸런스 문제는 해결합시다 지금뭐 비주류 5성들 5성 도감만 채우고 있지 실질적으로 쓰임이나 있습니까?? 매번 출시되는 전설 또는 신규5성만 밸런스 망치고 있고 신규캐릭터는 개성있는 스킬이랍시고 기존캐릭터랑과의 조합에 맞지도 않습니다. 그리고 전설들은 밸런스가 왜 이 모양인지 모르겠네요 도미너스랑 기존 육마성 밸런스 차이 실홥니까? 알렉 안젤리카 그란힐트 등등 기존 전설들 수개월동안 키워놓...
전체 리뷰",별표 5개 만점에 1개를 받았습니다.,1
2019-05-09,"리세를 하는 걸 적극 권장 아니면 특정 캐릭이 있는 계정을 사는 것이 나중에 시간대비 효율도 더 잘뽑히고 나중 과금효율도 좋음 초반 딜러는 3,4성 써도 고강으로 해결하지만 방캐는 넘사벽의 차이를 보여주기 때문에 더욱 그 중요성이 큼 그 외에는 다른 사람들처럼 시간이 지날수록 다이아도 모이고 이벤트로 먹을거 최대한 먹고 하면 과금러들의 땅인 결장류 빼곤 전부 즐길 수 있음 다만 뽑기 확률은 자원 쉽게 모이는거만큼 낮은 가챠를 보여주니 킹줄갓약하면 딴겜해라",별표 5개 만점에 3개를 받았습니다.,3
2019-05-16,게임도 정말 재미있고 피드백이나 답변도 빨라서 정말 재미있게 플레이 중 입니다. 제가 운빨이 워낙 없는 편인가 좋은 캐릭터가 아무리 해도 안나오는 것만 빼구요....ㅋㅋㅋ큐ㅠㅠ...,별표 5개 만점에 5개를 받았습니다.,5
2019-03-18,그 여자들을 주인공한테 반하게 하지 않으면 스토리 진행을 못하는 건가요. 그리고 도미너스 옥톤가 뭔가들만 탑급이고 나머지는 그저그런 애들이라 뭔가 게임을 진행할 의욕이 안나네요. 오래 하면 이것들 다 얻을 수 있다지만 오래 할 마음이 안생깁니다. 일러스트나 전투 시스템 같은건 마음에 드는데 그 외에는 다 별로네요,별표 5개 만점에 2개를 받았습니다.,2
2019-05-08,"재밌긴 엄청 재밌고 일러스트도 무척이나 예쁩니다. 근데 유저 평가에 가서 좋은지 안좋은지 보려고하는데 너무 섹드립이나 야한농담하시는 분들이 심하게 많으셔서요... 일러스트는 정말 너무 예쁜데말이죠. 그래서 혹시 가능하다면, 특정 단어 같이 단속할 수 있으신 건 단속해주시면 감사할 것 같아요. 물론 이게 귀찮고 어려운 일이란 것도 압니다만... 가능하시다면, 부탁드릴게요.",별표 5개 만점에 4개를 받았습니다.,4
