hashtags,numoflikes,date
"['#맞팔', '#여행', '#환불페이', '#구글환불', '#애플환불', '#구글환불대행', '#애플환불대행', '#환불대행', '#라그나로크M환불', '#라그나로크M공략', '#라그나로크M', '#다크에덴M', '#리니지M', '#천공성나르시아', '#루나크로니클', '#파이널판타지', '#황제라칭하라', '#로드모바일', '#십만대적검', '#천년지애M', '#블레이드2', '#천애신서', '#브롤로드', '#제5인격', '#오크', '#버닝', '#나우', '#야망', '#신명', '#풍신']",좋아요 3개,2018년 12월 19일
"['#서강준', '#seokangjun', '#seokangjoon', '#5urprise', '#areyouhumantoo', '#너도인간이니', '#cheeseinthetrap', '#치즈인더트랩', '#entourage', '#안투라지', '#cunningsinglelady', '#slyandsingleagain', '#앙큼한돌싱녀', '#whathappenstomyfamily', '#가족끼리왜이래', '#thesuspicioushousekeeper', '#수상한가정부', '#hwajung', '#화정', '#koreanactor', '#koreandrama', '#kdrama', '#라그나로크M']",좋아요 218개,2018년 03월 14일
"['#한가은', '#김하율', '#지스타', '#코스프레', '#하율냥이', '#가웅베베', '#라그나로크ZERO', '#라그나로크m', '#청순', '#좋아요', '#모델', '#소통해요', '#인물사진', '#컨셉', '#개인화보', '#출사', '#인물', '#레이싱모델', '#소통', '#촬영', '#화보', '#portrait', '#racingmodel', '#snap', '#photography', '#concept', '#lovely', '#sexy', '#cute', '#선팔하면맞팔']",좋아요 146개,2017년 11월 22일
"['#라그나로크', '#라그나로크m']",좋아요 35개,2018년 05월 02일
"['#레이싱모델', '#이다연', '#그라비티', '#라그나로크M', '#지스타', '#니콘', '#d7200', '#인물사진', '#초보진사그램', '#내가찍음', '#인증샷', '#취미', '#스냅샵', '#ff', '#photographer', '#sexy', '#snap', '#korea', '#model', '#racingmodel', '#G', '#photo', '#cute', '#ootd']",좋아요 181개,2017년 11월 21일
"['#그라비티', '#라그나로크M', '#라그M', '#gravity', '#ragnarok', '#매직크리에이터연', '#아마쯔의_전설']",113,2018년 11월 15일
"['#서강준', '#서프라이즈', '#5urprise', '#라그나로크M', '#포라갖고싶어']",좋아요 93개,2018년 02월 28일
"['#라그나로크M', '#그라비티', '#Gravity', '#라그M', '#EP5', '#업데이트', '#퀘스트수첩', '#도면']",좋아요 6개,2018년 11월 29일
"['#서강준', '#서프라이즈', '#5urprise', '#라그나로크M', '#메이킹']",157,2018년 03월 27일
"['#Repost', '#우윤아좌강준', '#라그나로크M', '#태국에서의추억', '#임윤아', '#서강준', '#얼굴이열일']",좋아요 18개,2018년 03월 08일
"['#라그나로크M', '#무탑', '#버그', '#사망선고', '#서비스종료', '#게임', '#게임스타그램', '#그라비티', '#GRAVITY', '#라그나로크', '#RAGNAROK', '#아이폰7플러스', '#소통', '#공감', '#좋아요', '#선팔', '#맞팔', '#인친', '#데일리', '#데일리그램', '#일상', '#일상스타그램']",좋아요 18개,2018년 07월 10일
"['#구글기프트카드', '#구글기프트코드', '#구글플레이', '#리니지m', '#리니지', '#리니지2레볼루션', '#블레이드앤소울', '#블레이드랜소울레볼루션', '#블소', '#블소레볼루션', '#트라하', '#검은사막', '#검은사막m', '#테라m', '#다크에덴', '#다크에덴m', '#뮤오리진2', '#아레나m', '#라그나로크m', '#모마', '#모두의마블', '#메이플스토리m', '#메이플m', '#선팔하면맞팔', '#맞팔', '#겜마티켓']",좋아요 4개,2019년 05월 23일
"['#그라비티', '#라그나로크', '#라그나로크M', '#요리', '#셰프', '#3월3일', '#삼겹살데이', '#고기', '#오늘은_내가_요리사']",좋아요 53개,2018년 03월 03일
[],좋아요 8개,2018년 06월 07일
"['#양산', '#근로자의날', '#취미', '#일상', '#l4l']",좋아요 70개,2019년 05월 01일
"['#무드등', '#포링', '#한지로_만들어_은은해요', '#그라비티', '#라그나로크M', '#라그M']",66,2018년 05월 02일
"['#2017지스타', '#카프라', '#포즈', '#라그나로크m']",좋아요 55개,2017년 11월 21일
"['#서강준', '#서프라이즈', '#5urprise', '#라그나로크M', '#쇼트무비']",313,2018년 03월 17일
"['#그라비티', '#라그나로크', '#라그나로크M', '#영원한_사랑', '#기뉴다', '#향이', '#러브_스토리']",좋아요 60개,2018년 03월 26일
"['#YoonA', '#imyoona', '#snsd', '#girlsgeneration', '#ragnarok', '#서강준', '#seokangjun', '#seokangjoon', '#5urprise', '#areyouhumantoo', '#너도인간이니', '#cheeseinthetrap', '#치즈인더트랩', '#entourage', '#안투라지', '#cunningsinglelady', '#slyandsingleagain', '#앙큼한돌싱녀', '#whathappenstomyfamily', '#가족끼리왜이래', '#thesuspicioushousekeeper', '#수상한가정부', '#hwajung', '#화정', '#koreanactor', '#koreandrama', '#kdrama', '#라그나로크M']",좋아요 113개,2018년 02월 28일
"['#라그나로크m', '#지스타', '#지스타2017', '#그라비티', '#이다연', '#모델', '#행사', '#전시', '#벡스코', '#부산', '#울산', '#양산', '#증산', '#촬영']",좋아요 55개,2017년 12월 11일
"['#라그나로크m', '#라그나로크']",0,2018년 03월 18일
"['#곱창', '#라그나로크m']",0,2018년 06월 22일
"['#아이스몬스터', '#망고빙수']",좋아요 286개,2018년 01월 28일
"['#구글기프트카드', '#구글기프트코드', '#구글플레이', '#리니지m', '#리니지', '#리니지2레볼루션', '#블레이드앤소울', '#블레이드랜소울레볼루션', '#블소', '#블소레볼루션', '#트라하', '#검은사막', '#검은사막m', '#테라m', '#다크에덴', '#다크에덴m', '#뮤오리진2', '#아레나m', '#라그나로크m', '#모마', '#모두의마블', '#메이플스토리m', '#메이플m', '#선팔하면맞팔', '#맞팔', '#겜마티켓']",좋아요 3개,2019년 05월 24일
"['#라그나로크m', '#26a']",좋아요 6개,2018년 03월 28일
"['#YoonA', '#imyoona', '#snsd', '#girlsgeneration', '#ragnarok', '#서강준', '#seokangjun', '#seokangjoon', '#5urprise', '#areyouhumantoo', '#너도인간이니', '#cheeseinthetrap', '#치즈인더트랩', '#entourage', '#안투라지', '#cunningsinglelady', '#slyandsingleagain', '#앙큼한돌싱녀', '#whathappenstomyfamily', '#가족끼리왜이래', '#thesuspicioushousekeeper', '#수상한가정부', '#hwajung', '#화정', '#koreanactor', '#koreandrama', '#kdrama', '#라그나로크M']",좋아요 99개,2018년 03월 07일
"['#라그나로크M', '#라그', '#업데이트', '#월드보스', '#MVP', '#레전드몬스터']",151,2018년 12월 18일
"['#부산', '#벡스코', '#2017지스타', '#박람회', '#그라비티', '#라그나로크m', '#아크비숍', '#하이프리스트', '#모델', '#한가은', '#김하율', '#갓라인', '#촬영', '#추억']",좋아요 69개,2017년 11월 29일
"['#대만', '#카프라', '#성공적']",좋아요 493개,2018년 01월 30일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그M', '#장난감공장', '#특별한NPC', '#특별한상점', '#탐욕상점']",좋아요 20개,2018년 05월 15일
"['#서강준', '#seokangjoon', '#seokangjun', '#라그나로크M']",639,2018년 03월 27일
"['#YoonA', '#imyoona', '#snsd', '#girlsgeneration', '#ragnarok', '#서강준', '#seokangjun', '#seokangjoon', '#5urprise', '#areyouhumantoo', '#너도인간이니', '#cheeseinthetrap', '#치즈인더트랩', '#entourage', '#안투라지', '#cunningsinglelady', '#slyandsingleagain', '#앙큼한돌싱녀', '#whathappenstomyfamily', '#가족끼리왜이래', '#thesuspicioushousekeeper', '#수상한가정부', '#hwajung', '#화정', '#koreanactor', '#koreandrama', '#kdrama', '#라그나로크M']",좋아요 185개,2018년 03월 14일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그M', '#마타', '#목걸이', '#내가_제일_잘_나가']",좋아요 11개,2018년 04월 27일
"['#구글환불', '#검은사막', '#검은사막모바일', '#검은사막m', '#라그나로크m', '#여명', '#글로리', '#짐의강산', '#운명']",좋아요 13개,2018년 07월 30일
"['#그라비티', '#라그나로크', '#라그나로크M', '#나는_냐옹이다옹', '#이_구역_고양이는_나야_나']",좋아요 34개,2018년 03월 09일
"['#그라비티', '#라그나로크', '#라그나로크M', '#천피스', '#퍼즐', '#막노동의_현장', '#퍼즐은_마지막_조각이_젤_어려운_법']",100,2018년 03월 21일
"['#오아희', '#밍키', '#오밍키', '#카프라', '#지스타', '#지스타2017', '#gstar', '#gstar2017', '#벡스코', '#그라비티', '#라그나로크', '#라그나로크m', '#윙크']",좋아요 23개,2017년 12월 30일
"['#구글기프트카드', '#구글기프트코드', '#구글플레이', '#리니지m', '#리니지', '#리니지2레볼루션', '#블레이드앤소울', '#블레이드랜소울레볼루션', '#블소', '#블소레볼루션', '#트라하', '#검은사막', '#검은사막m', '#테라m', '#다크에덴', '#다크에덴m', '#뮤오리진2', '#아레나m', '#라그나로크m', '#모마', '#모두의마블', '#메이플스토리m', '#메이플m', '#선팔하면맞팔', '#맞팔', '#겜마티켓']",좋아요 5개,2019년 05월 25일
"['#오늘', '#수요일', '#인스타', '#콘텐츠', '#소개', '#공대', '#공격대', '#공감', '#스토리', '#레어템', '#게임', '#게임방', '#게임하는여자', '#게임이야기', '#게임소식', '#게임정보', '#온라인게임', '#모바일게임', '#pc게임', '#게임추천', '#리니지M', '#라그나로크M', '#던파', '#던전앤파이터', '#블소', '#블레이드앤소울', '#아이온', '#검은사막모바일', '#아이템매니아', '#인친해요']",76,2018년 10월 10일
[],좋아요 234개,2017년 11월 22일
"['#서강준', '#서프라이즈', '#5urprise', '#라그나로크M', '#뮤비같아']",164,2018년 03월 14일
"['#이다연', '#댕댕', '#카프라', '#지스타', '#지스타2017', '#gstar', '#gstar2017', '#벡스코', '#그라비티', '#라그나로크', '#라그나로크m']",좋아요 22개,2018년 01월 03일
"['#갓겜', '#융스타그램', '#Yoongstagram', '#SNSD', '#GirlsGeneration', '#소녀시대', '#少女時代', '#sone', '#林允?', '#ユナ', '#윤아', '#임윤아', '#yoona__lim', '#TheK2', '#RagnarokM', '#Thailand', '#seokangjun']",좋아요 261개,2018년 04월 12일
"['#라그나로크m', '#라그나로크']",좋아요 3개,2018년 03월 19일
"['#라그나로크M', '#그라비티', '#Gravity', '#EP4', '#GVG', '#보스쟁탈전', '#전직', '#유노']",좋아요 18개,2018년 07월 11일
"['#그라비티', '#라그나로크', '#라그나로크M', '#포링', '#펫']",좋아요 29개,2018년 03월 18일
"['#SNSD', '#GirlsGeneration', '#소녀시대', '#少女時代', '#융융', '#林允?', '#ユナ', '#윤아', '#임윤아', '#yoona__lim', '#TheK2', '#Bangkok', '#Thailand', '#seokangjun']","좋아요 2,031개",2018년 03월 09일
"['#라그나로크m', '#라그m', '#모바일게임', '#프론테아', '#광장분수', '#페코페코', '#밤', '#명소', '#사진찍기', '#다산수', '#산수', '#모험수첩']",좋아요 3개,2018년 10월 26일
"['#칼토마', '#일러스트', '#결혼식', '#고양이_용병단도_참석', '#그라비티', '#라그나로크M', '#업데이트', '#오늘도_라그M']",좋아요 24개,2018년 06월 05일
"['#애플환불', '#삼국지블랙라벨', '#삼국지M', '#검은사막m', '#뮤오리진2', '#역천', '#운명']","좋아요 1,021개",2018년 06월 18일
"['#한가은', '#가웅찌', '#가웅베베', '#지스타', '#지스타2017', '#gstar', '#gstar2017', '#벡스코', '#그라비티', '#라그나로크', '#라그나로크m']",좋아요 22개,2018년 01월 05일
"['#그라비티', '#라그나로크', '#라그나로크M', '#게임', '#모바일게임', '#온라인게임', '#포링', '#gravity', '#ragnarok', '#ragnarokm', '#캘린더', '#다이어리', '#야근달력', '#야근', '#좀_쉬게_해주세요']",좋아요 45개,2018년 02월 02일
"['#라그나로크m', '#지스타', '#지스타2017', '#그라비티', '#이다연', '#모델', '#행사', '#전시', '#벡스코', '#부산', '#울산', '#양산', '#증산', '#촬영']",좋아요 73개,2017년 12월 18일
"['#구글플레이기프트카드', '#구글기프트카드할인', '#메이플스토리', '#바람의나라', '#던전앤파이터', '#카이저', '#라그나로크m', '#라그나로크m영원한사랑', '#검은사막m', '#검은사막모바일', '#리니지m', '#리니지m다이아', '#리니지2레볼루션', '#프렌즈마블', '#모두의마블', '#선팔', '#맞팔', '#맞팔하면선팔', '#팔로우늘리기', '#팔로우반사']",좋아요 5개,2018년 06월 03일
