date,fulltxt
2019.06.12. 11:48,한복이 아니라니!!첫번째가...이건 좀...
2019.06.12. 08:58,남녀 구분된 코스튬들 성별별로 저장가능하도록 바꾸주세요무기 코스튬과 킹포링 은혜처럼 색상이 다른 아이템도 종류별로 저장가능하도록 해주세요인벤이 좁아져서 겜을 못하겠어요
2019.06.11. 22:51,제련좀어떻게해주시죠...4강에서5는100%아닌가요??
2019.06.11. 08:22,라그m 전용 카카오톡 이모티콘 만들어주세요 ㅎ 길드 수다도 대부분 카카오톡에서 많이 하는데 하나 만들어주세요 ㅋㅋ
2019.06.04. 08:03,60프레임도 공속 정상 적용되게 해주세요지발요
2019.06.04. 04:37,고성 오래된 스크롤 아나..아니 퀘스트 하다고면 그냥누르는데..이건 너무 심한것 같아요..199만제니..아니 아니 창고에 한번만 사지만 이해 합니다..계속 말걸었더니.. 2번이 사지고 제니가..400만제니가 증발..이나 이건아닌것 같아요 ...2장 사서 어따 쓰나요 ??모르코는 퀘스트 꺠면 주던데;.여기는 제니로 사게 만들고..잘못하서 2장 샀으면 한장 환불도 안되고 . 어렵게 제니 모으고 있는데..이걸로 한방에 400만 제니를 쓰네요 어이가 없어서 .. 이런건 잘못 사면 환불되는것도 있으면좋겠네요..
2019.06.03. 06:36,직업 스킬 가이드도 올려주시면...타사이트에 가이드가 있긴 하지만 세이지 계열 스킬을 알려주는 곳이 없네요. 입문자들이 더 쉽게 선택 할 수 있게끔 스킬 가이드 만들어주시면 감사드려요.
2019.05.31. 00:30,워록 체인라이트닝 임팩트..워록 손에서 최초 대상자까지도 전기 나가면 임팩트 멋질거 같아요. 저만 그렇게 생각하나용?
2019.05.30. 16:11,"룩은 직업, 무기계열 상관없이 적용되면 안될까요?전 법사고 지팡이를 쓰는데 저 꽃다발을 룩으로 꼭 하고 싶어요!!! 그치만... 지팡이 무기라 룩이 적용되지 않더라구요 ㅠㅠ 룩은 무기나 직업 관계없이 적용되면 안될까요"
2019.05.29. 10:36,무슨 20세기도 아니고 엑박이 뜹니까.. 게임에서.. 예?
2019.05.25. 13:32,어이가없네 매트가언제부터염속이였남화이트쓰구 매트밟으니 뎀지들어오네? 뭘건든거냐대체 ㅋㅋ
2019.05.25. 10:17,★고블린 퀘스트 안됩니다.★고블린 퀘스트 진행이 안됩니다.모험가등급 올리는 퀘스트 인데이건 빨리 고쳐주셔야 될 중대한 버그에요.기존의 ★고블린 퀘스트 진행방식대로 해도 안됩니다.라타드 매직건 아무리 쏴도 두번 커지지가 않네요.말하는 고블린도 잘 안보여서 겨우 찾았는데퀘스트 진행이 안되요.명불허전 구라비티 안고쳐주겠지만써봅니다. 오늘 2019년 5월 25일.언제 고쳐지는지 보겠습니다.빨리 고쳐주세요.
2019.05.24. 11:55,길마 변경시길마 변경시 2차 비번 확인없이 되고직위변경시는 2차 비번을 요구 하는데반대로되어야 하는거 아닌가요?
2019.05.24. 11:30,아이템 잠금기능 빨리 업데이트 해주쇼실수로 상점에 팔면 복구도 안해준다고 들었는데?중국에 업데이트된건 좀 빨리빨리가져오자
2019.05.22. 14:06,낙원 주화 상점에 팔아줘요기부가 한개당 몇천개인데 점점 모자람
2019.05.21. 18:35,화살요속성석으로 화살교환하는거 10000게 수량 이상으로좀 너무 적어요 한번에 있는거 다 밖구는것도좀 만들어주세요
2019.05.21. 07:08,1호기 울트라맨 뽑기 안돼요울트라맨 2018년11월인가?파란티켓으로 뽑으려고 했더니제휴가 끝나서 뽑을수 없다는 말이 계속 나오네요;;;뭔가요? 못뽑나요??
2019.05.20. 21:21,ㅠ아이패드 발열이랑 렉좀 제발..2018뉴아이패드 사용중인 유저입니다:)몇개월전부터 왜때문인지 발열이 심해지다가 자꾸 팅기게되었구최근 패치되면서 고프레임으로 하니까부드러워지긴했지만?발열이 어마무시해요! !?렉도 대단(?)하답니다ㅠ어느순간 뙇 버벅이기 시작하는데 무적권 재접해야해요:(재접을 안하면 팅기더라구용최적화같은거해서 고쳐주셨으면..ㅠㅠㅠ
2019.05.20. 12:49,LG ㅡ G3 핸폰 계정 바꾸는법좀알려주세요ㅠ삼성꺼는 설정에 구글 들어가서 연결앱 지우고껨에들어가서 첫화면에서 우측위에 버튼누르고 나가기하면  구글 계정을 선택하는 창이 뜨자나요..그런데 !!! 엘지폰은 설정에 구글이 없어요ㅠ그래서  연결앱을 지우려해도 지울수가없고껨첫화면에서 우측위버튼누르고 나가기를해도바로전 껨에들어갔던 계정이 자동으로 들어가요ㅠ제발 알려주세요엘지폰으로 계정 바꿔서 들어가는법좀...ㅠㅠ
2019.05.20. 10:31,중국측에 요청해서 은화살 좀 만들어주세여왜 라그온라인에 있던 은화살이 없나요.은화살 생각하고 스나시작 했는데 은화살이 없어서 스나접을까 고민중입니다.프리데리고 다니기 싫어요. 은화살 만들어주세여상점에? 팔아주시면 3000만제니치 살게요.
2019.05.19. 23:28,npc확인 후 정리 한번 해주세요프론테라에 npc 티티엔이 있다고 하는데 아무리 찾아도 없어요확인하고 넣어주시길 바랄게요
2019.05.18. 06:44,팔콘 어절트  워그 일때도 사용 가능 하게 해주세요.워그로 바꾸니까 팔콘 어절트 못쓰네요. ㄷㄷ 바보 같은 ㄷ
2019.05.17. 15:27,오래된 파란상자5.0 에서 셰프의혜안 나왔다...셰프혜안 없앤다며!나쁜 구라비티놈들아!!
2019.05.17. 14:27,길드 공용창고 만들어줘요그냥 팔리지도않는거 자리도 차지하고 길창에 넣어두는게 낳겠음다른누군가 쓰겠지
2019.05.17. 14:10,업데이터후에 변환힘들어졌음 속성 설정 화면좀 사이즈 늘려줘요 한번에 보이게요 속성별 변경하려면 열고 스크롤올리듯이 위아래로 조정해야됨
