time,review_txt,stars_txt,ratings
2019-06-06,괴이한 고블린 퀘스트가 안되네요.. 리타드 매직건 200개는 산거 같은데.. 블로그에 올라온 여러 글들 혹시 놓친게 있나 더 찾아보고 그대로 따라 하는데.. 처음 시도 할 당시 안돼서 포기 하고 있다가 현 레벨 60랩에 다시 진행 하는데 여전히 반응이 없습니다.... 엄청난 딥빡을 경험 하게 되네요.. ㅠㅠ 도와주세요 관리자님...,별표 5개 만점에 4개를 받았습니다.,4
2019-03-06,"인생겜. 방대한 컨텐츠, 높은 자유도, 원작에 충실한 재현도. 모바일게임이면서도 온라인게임에 가까움. 무과금으로 즐길 수 있다던 광고에 속아 xx사막 한달 하다가 p2w에 지쳐 이주한겜. 이제 1년 플레이 했지만 꾸준한 패치와 컨텐츠업뎃으로 정말 할만한 게임입니다. 가장 고무적인 점은 '강함'의 조건이 국산 양산형 게임처럼 캐쉬에만 치우쳐있지 않다는 점이에요. 들인 시간과 정성에 비례해 강해지며 캐쉬의상은 몇몇 필수적인 부분이 있으나 게임 밸런스를 최대한 고려해서 출시하고 있어요. 중국겜하면 왕이되는x 처럼 쓰레기 현질겜 떠올리기 ...
전체 리뷰",별표 5개 만점에 5개를 받았습니다.,5
2019-02-07,별 한개도 아깝습니다. 너현질을 해야 편하게 플레이 할 수 있다는 압박이 심합니다. 노점도 현질해야 받을 수 있는 포인트로 구매가능하고 개인거래도 없고 경매장시세도 자동측정이라 매물만 많이 쌓이고... 개선이 많이 필요하겠습니다. 컴퓨터로 하던 라그시절 느낌 받고 싶어서 했는데 실망이 많이 컸습니다.,별표 5개 만점에 1개를 받았습니다.,1
2019-06-08,30~40대의 추억 팔이가 아닌 앞으로도 더더욱 발전하는 라그나로크 게임이 되었스면 좋겠습니다. 정말 재미있게 추억을 회상하며 잘 즐기고 있습니다. 수고하십시요.,별표 5개 만점에 5개를 받았습니다.,5
2019-05-21,대체로 만족. 이번에 소서러 키웠는데 서먼엘리먼트스피릿 스킬의 소환된 정령도 팻이나 호문클루스처럼 공격 on/off 선택가능 했으면 합니다. 정령공격이 파티시에 동빙석화를 깬다던가 프리의 렉스에테르나등 궁합나쁨. 정령 공격 off 시 속성에 해당하는 범위스킬 데미지 10%증가로 변경되었으면 적합.,별표 5개 만점에 4개를 받았습니다.,4
2019-05-12,나만 요즘 맨날 게임켜면 다운로드뜨는건가 백그라운드로 다운되지도않고 양도많아서 엄청 오래걸림 자기전에 하고자려고 켰다가 다운기다리다 그냥 잠듬...업데이트정보는 안올라오는데 뭔가요?? 몇일동안 계속 그러네요,별표 5개 만점에 2개를 받았습니다.,2
2019-04-23,"최근에 이슈되고 있는 사항에 대한 해결이 지연되고 있는 점 안타깝습니다. 카페에서 댓글만 열심히 달아주는 것만이 소통이 아니라고 생각합니다. 실제로 실행을 하고 공지로서 유저들의 갈증을 해소해줘야 하는데 그런점이 전혀 안되고 있네요. 잘 만든 게임을 이런식으로 망치려는 것은 무슨 의도인지 알 수가 없네요. 답변 달아주셔서 감사합니다만 이런 매크로식 답변을 달아주실거면 아니 단 것만 못하다는 생각이 드네요. 본 평가글은 불법프로그램 계정 제재 공지를 본 이후에 작성한 것입니다. 유저들에게 신뢰를 얻기 위함이었다면 일부를 가린 캐릭터 ...
전체 리뷰",별표 5개 만점에 1개를 받았습니다.,1
2018-12-20,발관리로 컴터 라그 망했는데 다시 반복되는 저수준의 관리와 운영. 실력 미달 개발자들과 돈만 밝히는 회사. 네이년 밀어주기? 더럽다 더러워 나의 소중한 추억을 니네가 다 망가뜨린다.,별표 5개 만점에 2개를 받았습니다.,2
2019-06-03,옛 향수를 일으키는 그래픽과 사운드 아직 초반이라 잘은 모르겠지만 나쁘지는 않는거 같음 단지 퀘스트 수행과 완료가 너무 이동이 많아서 그건 좀 ㅜㅁ ㅜ,별표 5개 만점에 4개를 받았습니다.,4
2018-12-23,"버그 방치, 유저 돈뽑아먹는 방목형 mmorpg 매 업데이트 시마다 치명적 버그가 발생하는데 모든 의견 묵살, 버그 방치. 대답없는 1대1 문의 본격 유저 돈뽑아먹는 현질아이템만 주구장창뽑는 확율조작게임.",별표 5개 만점에 1개를 받았습니다.,1
2019-04-20,개인창고 은행이라도 있으면 좋겠어요 라는 의견 제시 작년 9월에 했는데.. 5개월만 있음 1년이네요...? 계정내에 캐릭에서 제니 이동은 허락해주세요.. 공용창고도 조금더 확보해주세요,별표 5개 만점에 5개를 받았습니다.,5
2019-03-13,잘 만든게임이지만 운영관리가 고장났습니다. 환불악용으로 압류한 계정은 환불금만 내면 풀어주고 현재 게임내 버그가 있었고 악용자들에 대한 어떤한 조치도 없음 공식카페가면 어느정도인지 느끼실겁니다.버그가 생겼다? 악용안하면 손해보고 바보되는 게임 그러나 캐시템은 계속하여 찍어냄,별표 5개 만점에 1개를 받았습니다.,1
2018-11-24,진짜 재미는 향수를 불러들일만큼 중독성이 강합니다. 다만 과금으로 인한 패널티가 심하기때문에 게임의 재미가 90퍼이상반감됩니다. 제발 룩이 능력치와 관련없었으면 하는바램입니다. 도저히 과금에 지쳐서..뽑기때문에 오래할수 없는게임..,별표 5개 만점에 4개를 받았습니다.,4
2018-11-08,"옛 향수 및 모바일게임 스토리는 재미있으나, 너무 너무 해야 할일(퀘스트 동선 및 1일 필수 할일, 요리 등 짜증남. 왔다갔다 바보되는것 같음)을 너무 많이 만들어 놨음. 모바일이면 해비유져 보다는 라이트 유져들도 함께 즐겨야하는데 라이트유져들은 시작을 심각하게 고민해보세요. 필수 항목 다 따라 하다가는 자괴감 먹을 듯...과금유도 상당함. 반성해야함..로딩시간, 패치 등..게임이 무겁다고 표현 해야하나?",별표 5개 만점에 1개를 받았습니다.,1
2018-12-02,"이 게임 자체에서는 딱히 지적할게 없을 정도로 재밌고, 완벽합니다. 근데 개인적으로 제작자님께 여쭈어 볼것이 있다면 모험을 하다가 '프론테라 서문'에 있는 '타미'한테 퀘스트를 받았는데 퀘스트가 '남쪽 문의 성벽 근처에서 금색 자루의 석검 찾기'입니다.근데 여기서 문제는 남쪽 문의 성벽 근처에 있는 석검을 몇시간째 제가 못 찾고 있는게 문제입니다;; 제작자님 괜찮으시다면 답글 좀 어떡게 안될까요?",별표 5개 만점에 5개를 받았습니다.,5
2019-04-21,욕심 없이 즐기면 재밌는 게임. 과금러 아재들 할 짓 없으 니욕하는 이상한 게임임. 그냥 소소하게 즐길것 많음.,별표 5개 만점에 5개를 받았습니다.,5
2019-01-11,재미보단 추억.. 운영을위한 현질유도는 어쩔수없지만 유저들의 불만을 캐치하지못할뿐더러 유저들의 의견을 듣는지 의문 기본적으로 문제가 발생하면 그거를 최대한 안심할수잇게 처리해주시길,별표 5개 만점에 1개를 받았습니다.,1
2019-05-25,이슬 과일잼은 미션을 어떻게 깨라고 주신 건가요? 다른 퀘스트는 진행이라도 되지 이건 뭐 퀘스트 주시고 깰 수 있는 방법도 설명도 아무것도 없네요. 도대체 힌트는 줘야하지 않나요? 그래픽도 내용 스토리도 다 괜찮은데 몇가지 미션이 너무 말도 안되게 빡세고 깰 수가 없어서 3개만 남깁니다.,별표 5개 만점에 3개를 받았습니다.,3
2018-11-14,v30 사용자 입니다. 의견보니 유독 v30터치가 안된다는 글이 많네요. 저 또한 터치를 여러번( 많게는 10번) 또는 꾹 3초정도 눌러야 인식을 하네요. 결국 게임 15분하다 짜증나서 종료했습니다. 원인파악 해주시고 개선부탁드립니다.,별표 5개 만점에 2개를 받았습니다.,2
2019-03-17,제가.라그 베타때부터했는데요.. 다운파일이 많아서 짜증나긴했는데 다 이유가 있었네요.. 옛날 향수 느껴집니다.. 너무잘만드신듯 ㅠㅠ,별표 5개 만점에 5개를 받았습니다.,5
2019-01-27,한 1-2년 만에 돌아와서 복귀를 했는데 시스템이 좀 더 좋아진 것 같아요. 좀 제가 이런 쪽의 게임을 못 했는데 이거는 뭔가 하기도 쉽고 해서 재밌어요. 전부 다 별점 5점주고 갑니다. 화이팅! 흥해라!!,별표 5개 만점에 5개를 받았습니다.,5
2018-11-21,게임은 정말 재밌습니다 그런데 몇가지 질문해도 될까요? 1.라이딩 펫은 어떻게 꺼내죠? 2.덜 익은 사과는 어떻게 얻죠? (펫이 자꾸 배고파 죽겠데서) 답변좀 주시면 감사하겠습니다,별표 5개 만점에 5개를 받았습니다.,5
2019-03-28,게임을 하려고 다운을 받았는데 자꾸 클라이언트를 업데이트 하라는 안내창이 뜹니다. 클라이언트 받기를 눌러도 다운받아지거나 다운받는 페이지로 이동이 안되는데 어떻게 해야하나요?,별표 5개 만점에 5개를 받았습니다.,5
2018-09-14,진짜 애정 가지고 했었고 수십마넌 결제까지 했지만.. 코스튬 하나 못 얻어보네요.. 확률이 너무 창렬이라.. 거지같아 보이는 기본 코스튬에 이젠 사냥도 질려버렸어요ㅠ 현질로 캐릭이 강해질 순 없어도 이쁜 옷 한번 사입을 수 있으면 좀더 낫지 않을까 싶네요.,별표 5개 만점에 3개를 받았습니다.,3
2018-10-06,처음에는 아무 문제없이 잘돌아갔는데 패치를 거듭할수록 폰이 과열증상이 심하게 나타나고있습니다. 갤럭시S9+ 인데도 그런데 모바일게임으로 출시를 했으면 모바일에서 잘구동되게 개선좀 해주세요 일부 유저들이 컴퓨터로 플레이를 하지만 모바일만으로 플레이하는 유저들도 많습니다. 렉과 휴대폰 과열증상 개선에 좀 신경써주세요,별표 5개 만점에 3개를 받았습니다.,3
