twit_text,date
라그나로크 M #에피소드 5.0 #미리보기,오전 8:44 - 2019년 6월 8일
#ラグマス 와 이거 라그나로크M이 모바일의 M이 아니라 저런의미엿어? ㅋㅋㅋ,오후 11:51 - 2019년 6월 5일
가만있어보자..12년도니까 무려 7년전이네ㅋㅋㅋ지금까지 촬영한거 옮긴다는게 까먹고 있었는데 어쩐일인지 폰에 저장 되어있어서 투척#라그나로크 #ragnarok #74회부코 #코스어 #라그좋아요 #라그나로크m #고인물되어감 #일해라그라비티 #라그코스다시할까,오전 7:09 - 2019년 6월 4일
"그라비티, &#039;라그나로크M&#039; 연내 일본 출시 - DAILYFEED ",오전 2:35 - 2019년 5월 27일
"어제보다 순위가 내린 게임 중 가장 순위가 높은 게임은 「블레이드&소울 레볼루션」(2위→4위), 30위 권에서 가장 변동폭이 큰 게임은 「서머너즈 워: 천공의 아레나」(22위→28위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「라그나로크M : 영원한 사랑」(59위→80위) 입니다.",오전 5:01 - 2019년 5월 24일
그간 해외 게임 위주로 공표되던 '확률형 아이템 확률 공개 미준수' 게임 리스트에 '라그나로크 M'과 'DK 온라인' 등 국내 게임 2종이 올랐습니다. 공표되는 게임 수 또한 매월 늘어나고 있습니다. ,오후 10:42 - 2019년 5월 23일
"어제보다 순위가 내린 게임 중 가장 순위가 높은 게임은 「검은사막 모바일」(5위→6위), 30위 권에서 가장 변동폭이 큰 게임은 「모두의마블 : 지구대혁명 fo」(22위→27위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「라그나로크M : 영원한 사랑」(32위→59위) 입니다.",오전 5:01 - 2019년 5월 23일
#게임_10작품으로_취향을_드러내자라그나로크M구음진경 모바일도미네이션즈에이지 오브 엠파이어 월드 도미네이션삼국블레이드삼국지 인사이드Steel and Flesh엠파이어월드 리로디드라이벌나이츠소셜삼국지,오후 10:07 - 2019년 5월 21일
"멘트라 캐릭터 디자인 시대에 뒤처진다. 여캐의  허벅지 노출, 얼굴 표정, 자세가 남캐와 심히 비교된다. 라그나로크M은 여캐 성적대상화 심해서 다운만 받아놓고 안하는데 이거랑 비교하면 멘트라는 그나마 덜해서 일단 시작은 해본다. ",오전 8:14 - 2019년 5월 18일
"어제보다 순위가 오른 게임 중 가장 순위가 높은 게임은 「트라하」(13위→6위), 30위 권에서 가장 변동폭이 큰 게임은 「이사만루2018」(34위→26위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「라그나로크M : 영원한 사랑」(107위→61위) 입니다.",오전 5:01 - 2019년 5월 17일
