comment
" 정령탄 과금에 없으면 사냥안될듯?, "
" 재미는 있겠지...근데..., "
" 우리나라게임 가장 큰 문제가 돈을 벌어야 하는게 맞지만 돈을 안쓰면 게임이 어려울 정도로 만드는게 젤 그지같음, "
" 도대체 얼마나 받은겨, "
" 현질떡상겜을 이리빠시는분은 첨이네요, "
" 리니지2 길마까지 한 사람입니다.이걸 발전이라고 합니까??기존, 쓰레기 시스템을 그대로 가지고 간다면.. 또한번 대한민국 게임시장의 큰 범죄를 저지르는 일입니다.미친 리니지 아직도 리니지를 대작이라고 하는 사람이 있다니요.그때도 그랬지요. 그래픽 최강이고.. 자유도 최강이라고.. 참 어이가 없네요.말도안되는 가차시스템과 경제시스템으로,돈지랄해라, 너희들은 개돼지니까.. ㅎㅎ사육되는 느낌 안받으신다면.. 용자들입니다. 정신승리자들..리니지 시리즈는 우리나라 게임계를 병들계한 암적인 게임입니다.디아블로 카피해서 지금껏 먹고 살고, 가차시스템, 도박이 아니라고 이야기를 하죠.미친xxx 그래픽만 가지고 게임을 판단하지 않았으면 합니다.정중히 부탁드립니다. 제발.. 게임시스템에 대해서 이야기 해 주세요., "
" 아..리니지1m 방송하는것만봐도..리니지2m 어떻게 나올지 눈에보이는데..그걸 이렇게 빨고있네..웃기지도 않는다..ㅋㅋㅋㅋㅋ참내..맨트치는거보면 이건 엔씨직원인거같다 ㅋㅋ, "
" 병신 새끼들아 선동은 오지게도 잘당하니 맨날 개돼지 현질유도 거리지 ? 정작 나가보명 해외모발겜들이 대부분 더 창렬이야 병신들아 그리고 저 영상만보면 저만큼 빨아도 이상하지가 않지 씨발 저영상대로만 나온다면 역대급 맞지  그래픽봐라 씨발 폰인게 믿기지가 않는다 물론 저대로 나올리는 알수없지만 저영상을 보고 빠는건 뭐라하면 안되지 병신들아 나오지도 않은겜 트레일러만보고 현질유도니 어차피 엔씨니 하면서 쳐 까네 ㅋㅋㅋ, "
" 돈을 얼마 받았길래 이정도면 똥× 그냥 대주는 정도로 광고하네., "
" 쓰레기회사 쓰레기게임, "
" 개되지 게임 ㅋ, "
" 짱깨들 유입만 막으면 성공함, "
" 지랄하네 ㅋ, "
" 트라하 오픈전에....광고영상 보고나서 느낀점이요...우와 그래픽 대박이다!! 검사모의 그래픽을 압도하는건가?? .....라고 생각했지만...오픈후에 보니 역시나 낙시였어요...올리신 영상보니깐요 사알짝 낙시의 냄새가 나네요 ㅎㅎㅎ, "
" 아무리 잘만든겜이라도 엔씨서 출시하면 거르는게 답차피 연봉 1억 미만잡은 못하는겜이 될거다, "
" 그리고 모바일에 무슨 컨이필요하냐 현질한 헤비과금러 1프로가 대장이지 피시로하면 컨안되는 린저시들이 형님소리들을려고 하는거아니냐, "
" 왜 모바일로만 나오냐 피시버전 리니지3는 안내줄꺼냐 모바일로 벌만큼벌었으면 피시버전도 내줘야하는거아니냐 넥슨닮아가냐, "
" 이거 언제 출시에요.  저도 핸드폰 바꿧어요, "
" 저건 선정용이구, "
" 쓰레기게임 리뷰 = 쓰레기, "
" 린엠 아시는분들이 린2할까요? 돈겜댄지오래지만 좀 아쉽네요, "
" 컨셉영상보고  실게임판단하네, "
" 여기 그래도 정신 똑바로 챙기신분들 대다수네요 맞습니다 게임이 게임다워야지 무슨도박보다 더한게 우리나라 게임산업 입니다 기업이니 어느정도에 창출은 있어야 한다지만 우리나라 게임 기업들은 손에칼만 안든 도둑넘들이죠  정신 챙겨야 합니다 이렇게 만든건 우리 책임도 있으니 도둑넘들 정신 차리게 만들어 줍시다, "
" 메스텔레포트 인가? 저 장면은 아이어탈환전만 생각나넹, "
" Nc직원이신가? 그만 빨아제끼시죠 그리고 자꾸 디테일 디테일 그러면서 영어 쓰시는데 디테일의 정확한 뜻이나 알고 쓰시는건가?, "
