title,contents,date
도구 키트 가격 좀 내려줘요,도구 키트 가격 좀 내려줘요,2019. 6. 4. 화요일 10:11
서버 이전끝난지도 좀 됬는데 닉네님 변경권좀 팔아주세요,ㄱ,2019. 6. 4. 화요일 03:53
아이폰 결제오류,결제만 되고 아무것도 안들어옴...,2019. 6. 4. 화요일 01:06
도감  카트 모아둔것이  없어졋어여 ,도감  카트 모아둔것이  없어졋어여  모아서 한꺼반에  할려한것인데  왜  없어진것인지  .. ㅜ ㅜ,2019. 6. 4. 화요일 00:39
확인좀해주시길,장비각성3단게한방구매를해서.장비각성3단게완료를했는데 마력석3도없구.승급석도 구매했는데 .......,2019. 6. 4. 화요일 00:31
장비각성 돌려줘,장비각성3단게 구매하고승급석까지 구매했는데 .완료만뜨고 없네요........ㅣㅣ,2019. 6. 4. 화요일 00:05
삼성덱스 사용 못한지 6주차,언제까지가나 봅시다~,2019. 6. 3. 월요일 21:26
황금요정 아가시온!, ,2019. 6. 3. 월요일 17:46
원정행동력,이겜하면서 버그땜 에  답답하고 짜증나도 왠만하면 참고 겜하는데 어떨땐 내가 이걸 왜하나 이런 생각도 많이들고... 참 할말이 많지만  어디 버그가  한두개 여야지 .... 운영자 분들 일점 합시다 제발 쫌 ...지난주 수요일 이후 원정 안가서 행동력 풀이었는데 ,2019. 6. 3. 월요일 17:29
2차 전직 관련,카마엘이 나오는데,2019. 6. 3. 월요일 16:13
넷마블..사게꾼**들,강화..29강에서,2019. 6. 3. 월요일 12:51
아티팩트세트칸수2칸이라도늘리고,탈리스만도2칸만늘려라 부족하다효과보면서할려니,2019. 6. 3. 월요일 12:15
꼭 봐주십쇼,현재 이메일 연동 로그인이 문제가 된다고 수없이 고객센터에 문의를했는데 제가 힘든걸 바라는거도 아니고 이메일 연동 비밀번호 입력방식 숫자없이 입력 가능하게바꿔주십쇼 제글을 삭제 하시는거 같은데 계속 올리겠습니다,2019. 6. 3. 월요일 11:59
로그인 팟업창.. 삭제,로그인시 상시 뜨면 2가지 팟업창 삭제 해주시면 안돼나요??,2019. 6. 3. 월요일 11:46
엘리스 이벤트기간 3일이라도 더 늘려주세요,처음에 인원제한으로 안되고,2019. 6. 3. 월요일 11:12
복귀 유저를 위한...,배트맨 아티팩트.. 상점에서 라도 살수잇게 파라주시던가 ... 어떻게좀해주세여.  카드가 텅텅 비엇어여,2019. 6. 3. 월요일 10:26
필드사냥. 하얀토끼 나와서. 매일 사냥하고 싶어요 ㅎ,토끼. 넘귀여워요 ㆍ 필드사냥 에서. 톡 튀어나와  넘좋아요~^^,2019. 6. 3. 월요일 01:20
*먹어라 *** ***들아,18   너 ㅁ들  ,2019. 6. 3. 월요일 00:25
무료뽑기 건의,무료뽑기 프리미엄장비 상자랑 아가시온 소환상자 방식을 쿨다운이아닌,2019. 6. 2. 일요일 21:52
미안하다 칭호가방에있었다,ㅋㅋ,2019. 6. 2. 일요일 20:21
사냥의마스터칭호활성화가안된다,빨랑해놔라 장난하냐 꽉마,2019. 6. 2. 일요일 20:19
허수아비 사용자 스텟 수정,레볼루션에서 공식적으로 명중이나 회피 관통 크리 물공,2019. 6. 2. 일요일 19:25
공성전,진짜 너무 하는거 아닙니까? 하루종일 사냥하면 뭐합니까 ,2019. 6. 2. 일요일 18:53
전투덱 좀 늘려주세요,장비 종류 늘어난만큼 전투덱도 좀 늘려주세요,2019. 6. 2. 일요일 18:38
렉걸림 화면깨짐 자주팅김 현상,노트9 8램쓰는유저 입니다,2019. 6. 2. 일요일 16:15
2차 전직 관련,카마엘 & 듀얼간이 시스템이 나오는데,2019. 6. 2. 일요일 15:35
펫마법초월확율,"50%확율인 희귀펫 마법초월. 65개(11회).>>>>2단계. 성공.  소모된 아데나,AP 물약 생각하면 말도 안됨.",2019. 6. 2. 일요일 12:00
요세 늘리자ㅡㅡ,서버통합은 하면 ,2019. 6. 2. 일요일 10:35
1/1문의 아직도 안대자나요 또에러네,1/1문의안대서 따로 레볼 담당전화까지해서 담당자분이랑 말하고 취소해준다고 인벤검색까지 다하고 지금 템도 안빼가고 돈도 환불안해주고 몇일쨉니까 지금 장난합니까  1/1 대지도 않는데 댄다고 거짓말하지마시고 관리나 똑바로 해주세요,2019. 6. 2. 일요일 02:54
이벤트코어 놓친거 구매가능하게 해주세요,코어상점에 판매좀 해주세요,2019. 6. 2. 일요일 02:42
동맹원정중보잡을때 밟히잖아 안움직이잖아,아이시바,2019. 6. 2. 일요일 01:07
명예전당 매칭좀 전투력으로 바꿔봐 조가치 운영하지말고,명예전당 매칭좀 바꾸자,2019. 6. 1. 토요일 23:17
야 아 사발넘들아,야  이 **념들아  ***  **  **들,2019. 6. 1. 토요일 19:51
블덴 2차스킬 스킬쿨초기화 패시브 관련,"패시브 잘터집니다 초기화 잘되구요 그런데 한가지 흠이 버프스킬은 쿨초기화되면 끝났을시 바로바로 잘 사용합니다, 하지만 액티브 스킬들은 초기화만 되고 기존남았던 쿨이 지나야만 스킬을 사용합니다. 액티브 스킬은 쿨돌면 바로바로 사용하도록좀 수정부탁드립니다. 오토 돌리면서 누가 일일이 눌러서 사용하지는 않아요 꼭좀 수정해주세여",2019. 6. 1. 토요일 19:31
개인딜량차이에따른 보상 없애라,누군 딜량 못뽑아서 못뽑냐? 케릭이 딜을 못뽑는케릭인데 어쩌라는거야,2019. 6. 1. 토요일 19:26
동맹원정 개인행동력,동맹원정컨텐츠 각스테이지별 입장을 해야만 보상을 받을수 ,2019. 6. 1. 토요일 19:00
전문기술 AP 턱없이 부족합니다..,솔직히 제작을 하려고 조금만 채집해도 AP는 바닥이고...뭘 할수가 없네요,2019. 6. 1. 토요일 17:55
혈맹주화. 주세요 ㆍ 사냥을 할수. 없어요^^,주화가. 있어야   놀지요 ㅠ~^^,2019. 6. 1. 토요일 14:52
버그,편지함에 있는 집혼석이 가방이 여유가 있는데도 가방 공간이 부족 하다고 나오고 이벤트로. 나온 랜덤 카드상자는 왜 또 집혼가방 공간이 없어서 안 열린다고 하는지..  집혼석하고 카드 뭔 관계가...있는지.. 재부팅해두 같은상태네요.,2019. 6. 1. 토요일 12:29
