title,contents,date
2차 전직,"카마엘도 나오는데
업뎃 시점에
2차 전직도 심플하게 개선 건의합니다
  현 2차 전직은 넘 길어요 퀘템도 잘 안나오고요",2019. 6. 7. 금요일 12:58
혈맹원 기부 알림도 끌 수있게 해주세요.,알림설정을 전체끄기해도 혈맹원이 기부시에 상단에 알림이 뜨는데요.쟁할때나 명전시에 거슬려요.혈맹원 기부하는걸 굳이 필수알림으로 할 필요는 없을걸 같은데요. 온오프 설정가능하도록 해주세요.,2019. 6. 7. 금요일 10:27
소드싱어 업그레이드좀 해주소,"캐릭은 존나게 이쁜게
효율은 존나게 없네요
스킬도 최하급
방어,공격 최하급
그나마 레어스킬,버프덕에 먹고살아요
공격스킬좀 업그레이드 해주소",2019. 6. 7. 금요일 03:41
종족 잘못선택,"신규 종족 <카마엘>, 신규 서버 <군터>, <이실로테> 사전 등록 이벤트 안내
 종족을 카마엘 선택해야한는데    잘못 선택해서도 이벤트 보상 받을수 있어요?",2019. 6. 7. 금요일 02:52
뻥투력용 덱 필요하나요?,"만찬,정식,물약,, 오크까지 동원해서 대표덱 투력 올려놓고 
  버프효과 풀리고 그 덱 누르지 않는한 그 투력 유지되는데?
  필요한가요? 
  수정바랍니다",2019. 6. 6. 목요일 23:19
회중시계주머니,"이거도 판매되게 안됩니까...
이거 한방에 몇천개 까지도 못하고...
  짱납니다...쫌 판매가능으로 바꿔주시죠",2019. 6. 6. 목요일 23:04
* 이 * 넘 들,"블렉오르 나오랄땐  그리 안나오더니 2장바꿔  깠더니 2장다 블렉오르네   
 ",2019. 6. 6. 목요일 22:57
듀얼’클래스, 듀얼”클래스 전용은 매일 해택 패키지 동일적용 같은 뭔가가 필요하다고 봅니다.    ,2019. 6. 6. 목요일 13:29
2차 전직,"카마엘도 나오는데
업뎃 시점에
2차 전직도 심플하게 개선 건의합니다
  현 2차 전직은 넘 길어요 퀘템도 잘 안나오고요",2019. 6. 6. 목요일 12:17
정복자전당경험치물약,잘 못 눌러서 사용할수록 없는 경험치 물약 상자를 정복자 정당상점서 구매 했습니다. 복구 해주시면 감사하겠합니다만 여의치 않으면 가방에서 삭제라고 할 수 있게 부탁드립니다. ,2019. 6. 6. 목요일 09:46
탐욕..,"탐욕도 전투력 구간을 만들어줘요... 뭐 고투력 아니면 끼워주지도 않고... 늘 보면 고투력 위주로만 만드니 ....
소과금이나 중과금 하는 사람들은 진짜 할 방법도 없고...",2019. 6. 6. 목요일 06:38
오만의탑 지하2층 채널좀 늘려줘요,3채가 뭡니까 몹보다 사람이 많은건 너무하잖아요,2019. 6. 5. 수요일 23:33
발라카스 보스 채널 확장 건의,"오르펜 자켄 기요틴까지 꽉차는 마당에 계속 과금패키지 개발하고싶니?
채널이나 좀 늘려라 제발...",2019. 6. 5. 수요일 23:02
2차 전직 관련,"카마엘이 나오는데
업뎃 시점에
2차 전직도 심플하게 개선 건의합니다
  현 2차 전직은 넘 길어요 퀘템도 잘 안나오고요",2019. 6. 5. 수요일 22:28
엘리스아티펙,엘리스 상점 아티펙 구매할수있게해주세요,2019. 6. 5. 수요일 20:56
복구기힌지난 삭제케릭 복구할수있는 패키지 민들어주세요,"키우기힘드네요ㅜㅜ
아덴도. 강화도 ㅜㅜ
패키지만들어주세여 ",2019. 6. 5. 수요일 20:36
개발진들 장난하나?,"이벤시공 ㄴㅐ가 아침에 확인햇을때는 밤 23시59분까지 엿는데 왜 닫아버림,
니네 이럴줄알고 내가 아침에 캡쳐햇놧다 ***들아 
장난치나진짜",2019. 6. 5. 수요일 20:06
3일 더 연장 진행하세요,"처음에 버그난거나 채널부족등으로 진행해보도 못했는데
참...다른 이벤 연이어 진행하는 것도 아닌데 그렇게 힘든 요구인지 모르겠네요",2019. 6. 5. 수요일 18:27
이벤트문의,"아니 이벤트 를 밤12시도 아니고 낮12시로 끝내면 어떻합니까?
회사원 들은 저녁이나 시공 가는데  코어 못한사람들도 생각 해야지..
답답하네 운영 그런식으로 자꾸 할것니까?",2019. 6. 5. 수요일 18:19
이에일연동 비번 숫자 없이 가능하게 해주십쇼,"이메일 연동관련 건의사항입니다
이제껏 게임센터&네이버이메일 계정을 쓰고있었는데
이메일 입력방식이 바뀐후에 이메일 비밀번호 입력조건이 맞지 않다고 합니다
영어로만 되어있는 비밀번호인데 기존과 동일하게 쓸수있도록 변경바랍니다
이메일이 탈퇴된거라 비밀번호 재설정이 힘듭니다 
 ",2019. 6. 5. 수요일 15:59
토끼 ㅠ. 안나와. 필드사냥 잼없어유. ㅠ,토끼좀 나오게. 또 해요~^^,2019. 6. 5. 수요일 14:15
뻥투력 수정좀 합시다,"파티버프 투력 안올라가게 하고
음식으로 투력 안올라게게 하면 됩니다.
  이거 내가 몇위인지 볼려고 랭킹창 보는데 내 위에 있는놈들 캐릭 하나 하나 다 확인해야
  내 진짜 순위를 확인할수도 없는거고.  
  꼭 수정좀 합시다.",2019. 6. 5. 수요일 14:05
