date,review_title,review_text,rating
2019-06-02T08:15:26-07:00,그냥 일본섭 하세요,일본섭이랑 한국섭이랑 차이가 심하네요 그냥 일본섭 하세요 가챠도 아덴도 혜자네 혜자 혜지같은 엔씨님들,5
2019-06-02T07:40:10-07:00,거래소 기능,거래소 기능이 없어요 ㅜㅜ,1
2019-06-02T04:53:56-07:00,아이폰은 거래소 사용할 수 있게 언제 업데이트 해주나요??,업데이트 좀..,2
2019-05-29T17:39:41-07:00,전형적인 국산과금게임,대단합니다,1
2019-05-29T05:48:04-07:00,WHO 규제 적용게임. 도박과 같은게임,"적당히 해먹어야지... 이건뭐 누가 더 많이 돈을 쏟아 붙는지가 중요함. 기존에 게임에 투자한 사람들 도박중독자처럼 계속 더 쏟고 있음.. 게임에 중독 되서 자식들버리고 이혼한 여자가 주변에있음.. 불쌍한 애들,,, 중독 치료가 필요한게임이 확실하다.",5
2019-05-29T03:52:16-07:00,돈있지M,"게임 재미 xx
짜증 xxxxx",1
2019-05-29T02:30:42-07:00,운영자님들,"운영자님들보안에는 신경 안쓰나요?
해외거주자는 계정이 해킹을 당하던 말던 그냥 돈이나뽑아먹을 생각 이참에 리니지 해킹신고해도 어차피 대응도 제대로 안할꺼같은데 어떻게하면 유저들 돈이나 더 뜯어먹을 까생각하는데 서비스나 보안도 신경쓰세요",1
2019-05-28T22:09:06-07:00,누가 뭐래도 난 정말 재미있게 한다.,"그냥 마음 편히 하면 이만큼 재밌는 게임도 없는데,
이러니 저러니 해도 유저가 꾸준히 유지 되고 무과금러도 무료로 즐길 수 있는건 누가봐도 잘만든 게임인건데, 개인적 호불호를 떠나서 나는 참 잘 만든 게임이라 생각해요 ㅎㅎ",5
2019-05-28T20:55:46-07:00,추가설치,"약3500정도 추가설치필요하다그래서 확인누르면
Errorsource2 errorcode8이뜨는데
와이파이 잘터지는상태인데
깔도다운받고깔고다운받고 반복해도그대로네요
어떻게해야하나요?",1
2019-05-28T20:19:25-07:00,ㅎ,이벤트로 파템 많이 주셔서 감사합니당~~파템민 13개 먹었네요~,5
2019-05-28T17:57:48-07:00,업데이트가 계속진행되요,업데이트를 하고 접속하면 또 압데이트하라하고 같은 압데이트가 무한반복되요 접속이안됩니다,5
2019-05-28T16:56:55-07:00,어릴적 추억과 짜증을 모두 되살린 게임,"중학교때부터 리니지를 하고 있는 유저입니다.
분명 이 게임 하나 하고 있고 앞으로도 할것 같습니다. 그런데 여전히 게임을 하면서도 짜증이 늘어가네요. 아이폰을 써서 그런가요~??
거래소 이용 못하고~
업데이트때마다 최대 30시간까지 늦게 오픈되고~
이틀동안 접속 못한 것에 대한 보상도 못받고~
오늘도 업데이트한다고 아이폰만 접속이 안되서 리뷰 남깁니다~
어릴 적 추억이 있는 게임이기는 하지만 점점 짜증이 그 추억을 넘어서고 있네요~ 앞으로 당분간은 할 것 같지만 이렇게 아이폰 차별과 대책없는 운영이 계속 된다면 당연히 게임 접게 될것 입니다.
혹시라도 지금 리니지를 시작하려 하시는 분이 있다면 다시한번 생각해보시기 바랍니다. 게임은 재미있고 추억 돋기에 좋지만 그에 따른 운영, 차별은 심각합니다. 스트레스 장난 아닙니다.",1
2019-05-28T16:55:16-07:00,게임이냐 유저 돈빨아먹는 사행성게임이냐 정체가머야,하 두손두발 다들고 gg,1
2019-05-28T16:54:41-07:00,거래소나 열어요,"맨날 돈빨아먹는 업데이트 이벤트 같지 않은 이벤트 반복이야 수익있어야 하니 이해 하는데요.
극악의 아이템 드랍율과 개인 거래좀 가능하게 하세요.

추억팔이로 거래소 얘기 나온지가 언젠데 솔직히 말해서 검토중이라고 답변만 하고 있지 사실상 안하는거 아닌가요.

알면서 뭘 묻냐고요? 솔직히 찔리시조? 운영좀 제대로 합시다. 유저 다 나가면 고기방패는 누가해서 큰손들이 현질하겠어요??",1
2019-05-28T16:31:15-07:00,거래소 아이폰,아이폰도 거래소 만들어주세요,1
2019-05-28T16:12:15-07:00,접속이안되요~,안드로이드는 점검끝나서 겜하고 있는데 ios는 접속이안된다?????? 이거 문제가 심각한거 아닌가요????????? 리니지는 레벨업이 중요한데 접속도 안되게 해서 안드로이드 유저만 렙업하게 하고 ios유저는 접도안되서 렙업도 못하고 이 차이가 얼마나 큰지 아세요모르세요?! 정말 너무황당하군요 같은섭내에서 안드로이드만 접해서 렙업하고 ios는 접조차안되서 멍하니 기다려야하고 이건 정말 있을수없는 일이군요 상상조차못해본 일이야 어떻게 이런일이 있을수가?? 대한민국에서 그래도 큰 게임사가 어떻게 이런운영을??! 미리검수받아두고 점검끝나면 업데이트 모든유저가 공평하게 받고 겜하도록 해야하는거아닌가요? 이정도의 운영도 안된다는말인가!? 유저들의 돈은 어마어마하게 뜯어서 몇조씩 매출을 올리면서 이게 말이되는거냐고!!!!!!!??????가장 기본적인 접속은하게 해줘야 하는거아니야?????????,5
2019-05-28T14:28:13-07:00,아이폰에서 리니지m 안되게 해주세요,매번 업데이트때마다 AOS랑 오픈시간 다르고 거래소도 2년째 업데이트 안되고 그냥 IOS에서 게임 안되게 해주세요. 불공평하게 매번 그러느니 그냥 강제로 라도 접게해주세요,1
2019-05-28T12:55:03-07:00,아이폰유저,아이폰으로 하는데 거래소 아이폰으로도 사용할수있게좀 해주세요,5
2019-05-27T12:16:07-07:00,결제 정리 오류 에러코드 100307,"창에 이게 뜨면서 더이상 진행이 안됩니다 별거 다 해봤는데 이무것도 못하고요 이거 게임을 하라는곤지 말린곤지 도저히 몰르겠습니다 에러코드 100307
결제 정리 오류 입니다 이러는데 돈을 요구 하는건가요? 화날려고 하는데요 삭제후 다시 다운 받아도 똑같이습니다",1
2019-05-26T16:44:56-07:00,진짜 너무하네요 이거좀 보라고 5개드립니다,"무슨 장난하는것도 아니고 현질에도 불만 없고 다른 ㅈㄹ병 
있을때도 다 참았는데 무슨자동 돌려놓으면 10분있다 꺼지고 또 욕하면서 다시돌리면 또 그러고 제가 똥폰이면 이해를 하겠는데 그것도 아니고 쫌 고처 주세요",5
2019-05-25T00:37:20-07:00,생성제한,케레니스 생성제한 언제쯤 풀리나요 ㅜ,3
2019-05-24T14:17:37-07:00,뭔 이게 학생게임이냐?,이거 성인으로 바꿔야한다고 생각함,5
