date,review_title,review_text,rating
2019-06-01T22:54:27-07:00,폰을 새로 구입 했는데,게임 설치 안되요 ㅠㅠ,4
2019-06-01T11:46:58-07:00,안녕하세요 ㅠㅠ 계정 전에쓰던걸 못찾겠는데 찾아주실수있나요?,"닉네임은 치킨먹고싶다 였던걸로 기억해요,,ㅠㅠ",5
2019-05-31T22:13:06-07:00,카마엘,카마엘 및 신규서버 오픈이 언제 나오는거죠???,2
2019-05-29T05:37:47-07:00,게임잘만들었네넷마블,게임정말잘만들었네요그래픽이랑키우는맛이있어재미도있고다만강화가조금힘들긴하지만그래도잘만든것같아요요즘재미있게게임하고있어요,5
2019-05-28T01:08:44-07:00,투구 이미지,"다 좋은데 투구 이미지 넣어주시면 안될까요?
부탁드립니다",5
2019-05-27T02:24:36-07:00,패치후,"아이패드에서 메뉴창들이 잘려나옵니다.
아이탬 상자 열기 버튼및 공유버튼들 다 사라져서 안보이넹",1
2019-05-26T09:59:05-07:00,iOS 튕기면 재설치 해야 하는거 고치고 있냐,아니 한두번도 아니고 튕기면 접속이 안되고 다시 깔아야 한다 알고는 있냐 테달이 해서 겜하는데 다시 깔면 데이터가 얼마나 나오는지는 알고 잠만 자지말고 일좀하다 정액으로 돈은 따박따박 받아 처먹으면서,1
2019-05-26T07:04:04-07:00,바이움에서 튕기면 재접 해도 바이움 들어가 있는것,"다운로드 횟수 조작이에요 바이움에서 보석 쓰게하려는 수작이냐?
개마블 니들은 그런짓 하고도 남는다

앞으로 계속해서 무언갈 하려거든 게이머들과 소통좀 하고
공감할지 있는 일을 해라 
나중에 후회하지 말고",1
2019-05-22T01:33:01-07:00,구입목록 삭제해주세요,구입 목록 삭제부탁드립니다,3
2019-05-21T22:00:43-07:00,좋아요!!,지디가 광고하길래 해봤는데 진짜 재밌어요 ㅎㅎ다음에도 지디 부탁드립니다 ㅎㅎ...,5
2019-05-19T18:23:26-07:00,먹통,"실행이 안되서 지우고 다시 깔려고 하는데 안 깔림 ㅡㅡ^
왜 재설치도 안되는거냐고",1
2019-05-18T17:57:45-07:00,아이패드 튕기는 것도 고쳐주세요,"아이패드팅기면 접속 안되는 오류좀 수정하세요
쿠폰등록도 좋 넣고
같은 게임 다른 운영방식 이게 말이됩니까",3
2019-05-18T17:37:22-07:00,넷마블 인증 실패,오늘 새벽부터 넷마블 인증 실패라고 접속이 안되는데 저만 안되는건지 뭔지 궁굼하네요,5
2019-05-18T14:39:49-07:00,접었다 복귀할려는데 캐릭터도 사라지고 다이아도 다 없어졌네요..,"캐릭터고 샤먼만 남아있고 캐릭터들 다 없어지고 ,
거기다가 다이아는 왜. 없어진건가요?
캐릭터와 다이아 돌려주세요",2
2019-05-18T11:06:41-07:00,너무즐거워요ㅎㅎ,ㅎㅎ,5
2019-05-16T07:22:41-07:00,과금유저들. 접게만드네요,"투력이란게. 기본스펙인데. 어찌스킬이좋아진데도
투력100만차이나는. 전투력이. 고투력을 일대일로. 죽이는건지 
말이좀안돼네요
밸런스문제가. 아니고. 케릭이가지고 있는. 전투력 기본스펙이
적용이. 너무 작다는게. 이게임은문제인듯합니다 
500만이상 투력차는 보통. 투력올리는데. 1만투력당최소. 10만원이드는데
100만투력이면. 1000만원이랑. 더투자를했다는. 이야기고  
이건. 케릭. 투자만. 유도하지
적용은.  너무. 적어서. 투력. 투자하는. 의미가. 없어지네요
게임을 접어야할지 심각하게. 고민중 입니다",1
2019-05-15T22:37:41-07:00,닉네임에 @기호 붙은거 없애주세요,@ 이 기호때문에 게임할맛 뚝 떨어져요 ㅡㅡ,1
2019-05-15T06:09:41-07:00,돈돌려내라,"부활석. 결제만되고. 어디간거야
내봐 ㅜ내돈 ...돈을ㅈ 던. 부활석. 다시주던. 빨리해",1
2019-05-15T05:52:44-07:00,아이폰인데 실행이 갑자기 안돼요,"아이폰인데 실행이 안돼요
렉이 심해요 접속이 힘들어요",4
2019-05-15T05:22:29-07:00,갤럭시 5G,"갤럭시 5G로 기변해서
설치하고 패치다운 99.8% 멈춤
언제되는건가요? 답답해죽겠네ㅡ,ㅡ",5
2019-05-14T19:34:38-07:00,너무 튕긴다,"진짜 리니지 라는 단어 들어간 게임중 최고의 쓰레기 게임!
계속 서버 반토막 그다음은 서버 7개로 줄어들고 그다음엔 게임 서비스 종료할듯.. 개발자 들도 끝물인거 알고 케쉬템만 주구장창 늘려서 팔생각뿐이고  강화확률은 업데이트 서버통합후 숫자는 그냥 문에보이는 숫자 획률 일뿐  그보다 더 낮게 장난질해논거같고 ~ 
리니지m은  서버가 170개 인데도 렉도 없고 팅김도 없고 한데  넷마블이 만든 이게임은 서버가 꼴랑 15개인데도 도대체  패치는 말할필요도없고 렉에 오류에 진짜 심하다.
지금 까지 들어간돈 아까워서 마저못해 그냥 하는 게임.
주위에 이게임을 시작해보겠다는 사람이 있다면  두둘겨 패서라도 말릴것이다",1
2019-05-13T22:47:22-07:00,고쳐지지 않는 버그들...,"게임의 그래픽 및 게임성은 탑 수준입니다
다만...업데이트마다 새로이 생겨난 버그들 그리고 수정되지 않는 기존 버그들로 인해 유저들이 스스로 지쳐 갑니다
버그 수정은 매우 더디며 신규 유료 상품은 계속 늘어나고 있는 신규 유져가 따라가기 힘든게임입니다
지금도 고쳐지지 않는 매우 많은 버그들을 유져스스로가 적응해가는 정도 입니다
공식 커뮤니티를 가보시면 버그로 인해 항의 뿐입니다
새로 하시는분은 다시한번 생각해보시기 바랍니다",1
2019-05-13T07:11:02-07:00,어이가읍네..,업뎃한다고 하루 날려 먹음서 유료 아이템 데일리 다이야 하루치 못받으거 보상 안해주고 이벤트 진행중인거 완료도 안되었는데 버그로 사라지더니 이번엔 새로 진행하는 이벤트 내용 하나도 안보이고.. 이건 뭔가요?,1
2019-05-10T06:33:42-07:00,캐릭터 사라졋당..,"할게임없어서 다시왔는데 캐릭이 사라져있다..

이유라도 알았으면 ㅠ",5
2019-05-07T12:27:16-07:00,아니 왤케팅겨,빡치게하지마 ㅡㅡ,1
2019-05-06T02:48:13-07:00,재설치7번째,게임하다보면 팅기고 재접속하면 네트워크 연결 불가 휴대폰 전원 온오프 앱 재실행 다해봐도 재설치밖에없네요 왜죠? 이거 리뷰 보긴 하려나,5
2019-05-05T09:40:18-07:00,쿠키런 이벤트 ? 오류 !,"안녕하세요 리니지를 즐기고있는 별난이 라고 합니다
현재 진행되고있는 쿠키런 이벤트 오류가 계속 뜨는데 이거이거이거이거이거 어떡하죵??",5
2019-05-05T06:54:23-07:00,발열문제해결좀 ㅋㅋㅋ,다른겜 다 괜찮은데 왜 린2만하명 발열이줬댈꺼여??,5
2019-05-01T23:57:03-07:00,서버 통합이후 해상도 최저되고 옵션 먹통현상,"서버 통합이후 겜하다가 팅겨서 들어가면
해상도가 최저가되고 옵션에서 바꿀라고해도 변경이 안됩니다 유일한 해결책은 재설치인데
하루에 한두번 이짓거리 하고 있습니다
이 오류 수정해주세요",2
2019-05-01T19:42:07-07:00,다운로드,아이폰 다운로드 너무 느린거 아닌가요 ? 아이폰xr인데 다운이 너무 느리네 !!!!!,1
2019-05-01T17:10:58-07:00,와이파이 아니어도 다운로드 될수있게 해주세요,"셈하다가 갑자기 튕겨서 접하려고 하니 업데이트가 있다고 와이파이 접속시만
다운이 된다고하는데 데이터로서 다운받을수있게 해주세요
와이파이 없는곳에서는 다운도 못받으니 답답합니다
기종은 아이패드 프로3세대 이구요 용량 얼마되지도 않는데 와이파이만 다운받을수있으니 불편하네요",2
2019-05-01T11:39:20-07:00,업데이트 드럽게 길게하네,용량돼지냐 아놔,1
2019-05-01T10:44:27-07:00,아이폰버리지마세요,다 똑같은 유저입니다.ㅠㅠ,4
2019-05-01T07:29:25-07:00,업데이트  왜 안되나요? 아놔 ㅠ,업데이트 왜 안되나요? 너무하네,1
2019-05-01T06:49:06-07:00,업데이트 해도 겜 실행 안돼는건 뭔가요 ㅡㅡ,업데이트 다 하고 겜 실행하는데 왜 자꾸 업데이트 하라는건지 모르겠네요,1
2019-05-01T06:40:46-07:00,접어라,ㅋㅋ,1
2019-05-01T06:25:43-07:00,업뎃,"업데이트 완료되서 열기하면
최소버전이라고 또 업뎃하고
반복인데 뭐냐이건
보스탐도 못하고 혈던도 못했는데
보상해라",1
2019-05-01T05:55:00-07:00,넷마 모지리들,뭔 업뎃만하면 최신버전 퍼레이드를 하고있냐,1
2019-05-01T04:36:50-07:00,패드는?,"업데이트를 할애하다 다시깔아야되네
데이터 압박 제대로해주네 ^_^
버그루션 아주 오진다",1
2019-05-01T02:21:23-07:00,업데이트후,업뎃 후 앱 열기 하면 최신버전 또 업뎃 하라고 지금 몇번째인지..오늘 왜이래요,1
2019-05-01T01:58:05-07:00,망각의모래,제발 망각의모래좀 주세요. . . .,5
2019-05-01T01:43:20-07:00,매크로,매크로 신고 주거라 하면 머하면 머하죠??? 영상에 캡처에 별걸 다 보내도 대답은 조사중~~~1년냐내 조사만 하시나봐요???,1
2019-05-01T00:09:05-07:00,힘내요,잘될거야,5
2019-04-30T23:25:46-07:00,왜 와이파이만?,"100기가 사용하고도 무제한인 나도,
업데이트 때마다 와이파이 없으면,
집에서만 접속해야 해서 너무 불편함.
선택할 수 있게 해 주었으면 함.",1
2019-04-30T20:55:41-07:00,제발,신규유저들도 생각하는 업데이트좀 해주세요,5
2019-04-30T20:50:09-07:00,페북연동해제좀 해주세요,페북연동 되어잇는 계정좀 해제해주세요,1
2019-04-30T19:45:10-07:00,아이폰 업데이트 안됨,"오늘 오전11시30분 이후 최신버전 업데이트 하라고 공지 봤는데 왜 안되죠?? 11시30분 이후인데
게임내에서 곧 시간이 돈이고 투력인데",1
