time,review_txt,stars_txt,ratings
2019-06-08,오버 조금 포함해서 갓겜임.스토리도 나름 감동과 맥락이 존재하고 여러개의 엔딩을 볼수 있는 멀티엔딩형식에 각각의 캐릭터들도 개성있고 여러형식이 있어 본인의 맘에 드는 캐릭터(애정캐)를 골라서 키우는것도 나름의 재미라고 볼수 있다.아쉬운 점이라 한다면 음성파일에 노이즈가 끼는 버그임.하지만 이런 사소한 버그는 지워버릴만큼 장점이 많으니 한번은 해보길 추천함.(개인적으로 저번에 사건 터진이후로는 잘 운영하고 있다고 생각함.),별표 5개 만점에 5개를 받았습니다.,5
2019-05-16,생각 이상으로 너무 재미있습니다. 친구의 추천으로 시작했는데 스토리도 좋고 게임도 재미있네요. 다만 던전중에 카톡이나 통화를 하면 다시 로그인창으로 간다는게 조금 아쉽네요 ㅠ,별표 5개 만점에 5개를 받았습니다.,5
2019-05-14,"캐디, 그래픽, 타격감, 최근 들어 재화를 나름 뿌리는 운영 등에 좋은 점수 주고 싶습니다. 반면에 리프물이라 계속 반복플레이 해야 하는데도 일부 영상/대사 등을 스킵 할 수 없는 점, 극악의 가챠확률 및 중복조각, 행동력으로 제한을 주면서 재화나 현금으로도 추가구매 불가능한 점은 아쉬움을 남깁니다. 또 CG나 엔딩을 두루 보고자 할 경우에는 공략에 따라 플레이 해야 해서 난이도가 있는 편입니다.",별표 5개 만점에 4개를 받았습니다.,4
2019-06-10,예전에 비해 운영이 많이 좋아졌어요. 사전예약부터 지금까지 접지않고 계속 했던 고인물인데 계속 좋아지는 운영덕에 1주년까지 계속 할수있던 것 같아요. 앞으로도 이렇게 좋은 운영 보여주시면 계속 지르면서 하겠습니다. 제발 인식 좋아져갈때 또 헬적화나 문제 터뜨리지 말아주세요. 또 터지면 진심 이 게임 망합니다. 부탁드립니다.,별표 5개 만점에 5개를 받았습니다.,5
2019-05-28,초반에 너무 현질유도도 심하고 다른 나라에서는 배포캐라는 신기사를 여긴 현질해야 얻을 수 있다해서 이 게임은 아니다 하고 접었습니다. 그리고 오랜만에 일러스트가 생각이나서 접속했는데 운영이 많이 좋아졋더라구요 재화도 많이 뿌리고!! 그래서 맘에 드는 신기사 가챠할때만 질러서 소소히 즐겜 하고있습니다. 흥하세요:),별표 5개 만점에 5개를 받았습니다.,5
2019-06-02,"스토리,선택지,엔딩 재미있어요 재미는있는데..... 행동력이 너무적어요 1차는데 6분이걸리고 전투를하든 건설을하든 조사를하든 무조건 20의 행동력이 필요해서 6×20은 120분 그니까 스토리 진행할려면 1번선택할때마다 120분이걸려서 게임할때마다 진짜 기달리기 싫다가아니라 아침에 하고나면 아 내일해야지 이런식으로되요 제발 행동력올라가는 속도를 올리거나 행동력 무한같은거좀 팔면안될까요?",별표 5개 만점에 2개를 받았습니다.,2
2019-06-13,아직까지도게임안들어가지던데 어떻게된거죠?? 들어가져야게임하던지하는데 몇번지웠다깔았는데도 다시핸드폰화면으로나오고 게임은안들어가지고 게임을하라는건지말라는건지................. 별점이오점일정도로좋은게임인데 못하고있는게말이됩니까~~??,별표 5개 만점에 5개를 받았습니다.,5
2019-04-21,예전에 이벤트로 얻을 수 있었던 아슈를 지금도 얻을 수 있게 업뎃이 빨리 되었으면 좋겠어요! 그 외엔 다 좋습니다 행동력이 부족하다는 분들이 계시지만 전 띄엄띄엄 해서 괜찮다고 느낍니다.,별표 5개 만점에 4개를 받았습니다.,4
2019-05-14,"전체적으로 재미있는 게임입니다. 나온지 얼마 안됬을때는 4.3GB였는데 이벤트등까지 추가만해서 2.1GB로 최적화를 하시다니 놀라울 따름입니다. 이것으로 저장공간은 안심하고 즐길 수 있겠네요. 하지만 행동력과 금화를 오팔 또는 다이아몬드같은 화폐로 살 수 있게 하면 훨신 더 좋은 게임이 될 것 같습니다. 확률도 다른 게임들보다 훨신 높아서 신기사를 뽑는재미도 있고, 그 외에도 여러가지 활동, 스토리등이 있어 좋은 것 같습니다. 이 게임에길드를 만들어서 6~10명이서 할 수 있는 대규모 레이드를 만드는것도 좋은 생각인 것 같습니다. ...
전체 리뷰",별표 5개 만점에 5개를 받았습니다.,5
2019-05-19,아니 재밌게 플레이하고있었는데 얼마전부터 갑자기 앱실행이 되지않는 현상이 발생했습니다. 서버의 문제인건지 기기호환문제인건지는 몰라도 황급히 개선부탁드립니다.,별표 5개 만점에 2개를 받았습니다.,2
2019-05-10,캐릭터가 다양해서 모으는 재미도 있고 키우는 재미도 있어요. 루트가 다양해서 스토리 보는 재미도 쏠쏠하고 잘놀고 있습니다~! 근데 콜라보 캐릭터를 이제 못얻는거나 행동력이 많이 딸린다는 점이 좀 아쉽긴해요.,별표 5개 만점에 5개를 받았습니다.,5
2019-05-13,너무 재밌어요 캐리터도 많고 엔딩 보는 재미로 하는데 진짜 진짜 행동력 부족한것 같아요.하루 넘길려면 행동력 하루 채워야 하는게 띄엄띄엄 안하는 사람들에겐 많이 부족해요.그래도 재밋어요 홧팅,별표 5개 만점에 5개를 받았습니다.,5
2019-05-14,"아니 다좋은데 행동력 차는거 너무너무너무 느려요. 다쓰면 채우는데 진짜 거의 하루 다 지나야되고 소모하는건 5분도 안걸립니다. 뭔 게임을 하루에 2번은 할수있게끔 해줘야지 예전부터 행동력 관련 유저 피드백이 있던걸로 아는데 왜 개선이 안되나요? 행동력 개선하면 컨텐츠 소모가 빨라져서 안된다는건 게임사 입장이고요. 이부분 때문에 게임이 전반적으로 루즈해진다면 운영이 잘못된거 아닌가요?행동력 차는거 개선하고 스토리를 많이 내주시던지 스토리 이외에 행동력을 사용해서 할수있는 컨텐츠를 만들어주든지 유저가 뭐라도 할수있게끔 해줘야죠. 아무튼...
전체 리뷰",별표 5개 만점에 2개를 받았습니다.,2
2019-05-13,다 좋은데 행동력을 사용하는데 비해 충전되는게 너무 느려요.. 진행하다가도 맥이 끊기는 기분이 드네요 아니면 행동력 보충아이템을 살 수 있는 방법은 없을까요??,별표 5개 만점에 4개를 받았습니다.,4
2019-05-03,이게임 정말 재밌게 플레이하는 중이었는데요 업데이트 이후로 앱 실행이 안되고 데이터삭제 재설치 리부팅 플레이스토어 캐시삭제 등등 생각나는 방법은 모두 시도해봤는데 전부 소용이 없네요,별표 5개 만점에 5개를 받았습니다.,5
2019-05-14,기대 이상으로 훌륭한 게임입니다. 그래픽도 괜찮고 성우진도 좋습니다. 독특한 스토리가 이 게임의 묘미를 한 층 더 살려주는 거 같네요. 요즘 한참 즐기고 있습니다.,별표 5개 만점에 5개를 받았습니다.,5
2019-04-24,다좋은데 행동력 너무 아쉽다....너무 적어...그렇다고 맨날 타임슬립 주는것도 아니고..행동력을 주는 시간을 줄이던가 뭔가 해줬으면좋겠어용...,별표 5개 만점에 4개를 받았습니다.,4
2019-05-19,멀티엔딩을 첨 해봐서 그런지 공략하는 재미도 있고 캐릭도 귀엽뽀쨕해서 보는 즐거움도 있네여! 근데 친구끼리 신기사를 주고 받을 수 있었으면 좋겠어요 (신기사가 출강가는 컨셉으로..) 그래도 진짜 즐기고 있습니다! 그리고 행동력이 모자란 건 사실이기에 일주일에 하나씩이라도 타임슬립을...,별표 5개 만점에 4개를 받았습니다.,4
2019-06-09,솔직히 이런 류의 게임 처음 해보는데요 와 진짜 스토리 너무 좋아요 시간 저장하는것도 바쁜 현대인들이 몰아서 할 수 있도록 잘짜여있고 신기사수급도 나쁘지 않고 제가 해본 모바일겜중에 갓겜 인정합니다!!!!,별표 5개 만점에 5개를 받았습니다.,5
2019-04-20,운영 방침을 위반하여 계정이 동결되었습니다. 고객센터에 문의하고 싶은데 인게임 외에 고객센터에 접근할 수 있는 방법이 있나요?,별표 5개 만점에 5개를 받았습니다.,5
2019-06-05,재미있는 게임입니다 하지만 처음에 다운로드가 너무 걸려서 많이 하지못했습니다. 근데 갑자기 들어가지 못합니다.,별표 5개 만점에 5개를 받았습니다.,5
2019-05-11,이거 갓.겜.입니다....반복적으로 해야하는것은 이해을 하지만...너무나 즐거운..갓.겜.,별표 5개 만점에 5개를 받았습니다.,5
2019-05-06,"그래픽좋고,캐릭좋고,스토리좋고,컨텐측좋고 다좋아요...근데,행동력 시스템이 조금 불편 하네요. 행동력채우는아이템도다썼고체워질려면시간이길고...어떻게좀해주세요ㅠㅠ (영7도!응원합니다.",별표 5개 만점에 5개를 받았습니다.,5
2019-06-02,도데체 왜 사진 저장이 안 되고 저장실패라고 뜨는 거죠 ?? 고쳐주세요 제발 답 좀 해주세요 왜 항상 저만 안 되는 건지도 모르겠고 이번엔 네트워크 잘 되고 있는데 아예 로그인 실패라고 뜨네요 ㅋㅋ 진짜 어이없네요 .. 제발 고쳐주세요,별표 5개 만점에 2개를 받았습니다.,2
2019-06-04,너무 재밌게 하고있어요! 3d 그래픽도 예쁘고 컨텐츠 자체가 재미있네요 바뀐 운영도 마음에 들어요 더 흥했으면 좋겠다,별표 5개 만점에 5개를 받았습니다.,5
2019-05-14,아라시루트를 하고 있던 중 '후방작업:종한구의 부탁'을 하고 있는데 '동생'을 '종생으로 잘못 친거 같애요~수정해주세여~~!,별표 5개 만점에 5개를 받았습니다.,5
2019-05-15,안녕하세요? 저는 영7을 재미있게 플레이 하는 사람입니다. 앙투아네트 공략을 하고있었는데 과학력이 72이에요. 근데 방주가 건설에 없어요 ㅠ.. 오류인가요?,별표 5개 만점에 4개를 받았습니다.,4
2019-06-11,LG Q8 사용 유저에요 로그인을 하고 게임 접속을 하려고 하면 튕김 현상이 잦습니다. 그리고 저 교회조랑 이자크 사랑해요..,별표 5개 만점에 3개를 받았습니다.,3
2019-06-09,아니...기억전당에서 몬스터들에게 버티는거 있잖아요; 그거 최대마법인가 그거 쓸대 시간가는게 왜 멈춤?,별표 5개 만점에 2개를 받았습니다.,2
2019-06-05,정말재밌는 게임이긴 한데.. 그 야슈나 크루노 같은 이벤트캐들을 얻으려면 기념권 20000장은 좀 아니라고 봅니다.. 가격을 낮춰주시거나 아니면 뽑기같은걸로 걸리게 해주면 아주 감사할거같은데..,별표 5개 만점에 4개를 받았습니다.,4
2019-05-03,재밌고 좋은데 트리거 오류때문에 게임을 진행할 수가 없네요 처음 루트에서 시가지를 먼저 선택해서 웬시를 못받았고 이자크 루트에서 동방거리 첫 클리어 해버렸는데 웬시를 안주더라고요 근데 바로 다음회차에 웬시 루트 탔는데 웬시가 없어서 어떻게 진행을 해야할 지 모르겠습니다 다시 시작하기에는 쓴 시간이 아깝고.. 어떻게 할 수 없을까요?,별표 5개 만점에 4개를 받았습니다.,4
2019-05-29,설치하는데 4기가가 필요하다고? 9기가에서도 안깔려요 10기가되니 설치되네요 얼마나 대단한 게임이길래ㅋㅋ정말 기대됩니다,별표 5개 만점에 1개를 받았습니다.,1
2019-05-01,상대적이긴 하지만 현질 유도가 심하지 않구요. 직장인도 여유있게 할 수 있어서 좋습니다.,별표 5개 만점에 5개를 받았습니다.,5
